,SYMBOL,NAME OF COMPANY,isactve,FUT,IDX
47,AICHAMP,AI Champdany Industries Limited,True,False,False
48,AIFL,Ashapura Intimates Fashion Limited,True,False,False
49,AJANTPHARM,Ajanta Pharma Limited,True,False,False
50,AJMERA,Ajmera Realty & Infra India Limited,True,False,False
51,AKSHARCHEM,AksharChem India Limited,True,False,False
52,AKSHOPTFBR,Aksh Optifibre Limited,True,False,False
53,AKZOINDIA,Akzo Nobel India Limited,True,False,False
54,ALANKIT,Alankit Limited,True,False,False
55,ALBERTDAVD,Albert David Limited,True,False,False
56,ALBK,Allahabad Bank,True,False,False
57,ALCHEM,Alchemist Limited,True,False,False
58,ALEMBICLTD,Alembic Limited,True,False,False
59,ALICON,Alicon Castalloy Limited,True,False,False
60,ALKALI,Alkali Metals Limited,True,False,False
61,ALKEM,Alkem Laboratories Limited,True,False,False
62,ALKYLAMINE,Alkyl Amines Chemicals Limited,True,False,False
63,ALLCARGO,Allcargo Logistics Limited,True,False,False
64,ALLSEC,Allsec Technologies Limited,True,False,False
65,ALMONDZ,Almondz Global Securities Limited,True,False,False
66,ALOKTEXT,Alok Industries Limited,True,False,False
67,ALPA,Alpa Laboratories Limited,True,False,False
68,ALPHAGEO,Alphageo (India) Limited,True,False,False
69,ALPSINDUS,Alps Industries Limited,True,False,False
70,AMARAJABAT,Amara Raja Batteries Limited,True,False,False
71,AMBER,Amber Enterprises India Limited,True,False,False
72,AMBIKCO,Ambika Cotton Mills Limited,True,False,False
73,AMBUJACEM,Ambuja Cements Limited,True,False,False
74,AMDIND,AMD Industries Limited,True,False,False
75,AMJLAND,Amj Land Holdings Limited,True,False,False
76,AMRUTANJAN,Amrutanjan Health Care Limited,True,False,False
77,AMTEKAUTO,Amtek Auto Limited,True,False,False
78,ANANTRAJ,Anant Raj Limited,True,False,False
79,ANDHRABANK,Andhra Bank,True,False,False
80,ANDHRACEMT,Andhra Cements Limited,True,False,False
81,ANDHRSUGAR,The Andhra Sugars Limited,True,False,False
82,ANGIND,ANG Industries Limited,True,False,False
83,ANIKINDS,Anik Industries Limited,True,False,False
84,ANKITMETAL,Ankit Metal & Power Limited,True,False,False
85,ANSALAPI,Ansal Properties & Infrastructure Limited,True,False,False
86,ANSALHSG,Ansal Housing and Construction Limited,True,False,False
87,ANTGRAPHIC,Antarctica Limited,True,False,False
88,APARINDS,Apar Industries Limited,True,False,False
89,APCL,Anjani Portland Cement Limited,True,False,False
90,APCOTEXIND,Apcotex Industries Limited,True,False,False
91,APEX,Apex Frozen Foods Limited,True,False,False
92,APLAPOLLO,APL Apollo Tubes Limited,True,False,False
93,APLLTD,Alembic Pharmaceuticals Limited,True,False,False
94,APOLLO,Apollo Micro Systems Limited,True,False,False
95,APOLLOHOSP,Apollo Hospitals Enterprise Limited,True,False,False
96,APOLLOTYRE,Apollo Tyres Limited,True,False,False
97,APOLSINHOT,Apollo Sindoori Hotels Limited,True,False,False
98,APTECHT,Aptech Limited,True,False,False
99,ARCHIDPLY,Archidply Industries Limited,True,False,False
100,ARCHIES,Archies Limited,True,False,False
101,ARCOTECH,Arcotech Limited,True,False,False
102,ARENTERP,Rajdarshan Industries Limited,True,False,False
103,ARIES,Aries Agro Limited,True,False,False
104,ARIHANT,Arihant Foundations & Housing Limited,True,False,False
105,ARIHANTSUP,Arihant Superstructures Limited,True,False,False
106,ARMANFIN,Arman Financial Services Limited,True,False,False
107,AROGRANITE,Aro Granite Industries Limited,True,False,False
108,ARROWGREEN,Arrow Greentech Limited,True,False,False
109,ARROWTEX,Arrow Textiles Limited,True,False,False
110,ARSHIYA,Arshiya Limited,True,False,False
111,ARSSINFRA,ARSS Infrastructure Projects Limited,True,False,False
112,ARVIND,Arvind Limited,True,False,False
113,ARVSMART,Arvind SmartSpaces Limited,True,False,False
114,ASAHIINDIA,Asahi India Glass Limited,True,False,False
115,ASAHISONG,Asahi Songwon Colors Limited,True,False,False
116,ASAL,Automotive Stampings and Assemblies Limited,True,False,False
117,ASHAPURMIN,Ashapura Minechem Limited,True,False,False
118,ASHIANA,Ashiana Housing Limited,True,False,False
119,ASHIMASYN,Ashima Limited,True,False,False
120,ASHOKA,Ashoka Buildcon Limited,True,False,False
121,ASHOKLEY,Ashok Leyland Limited,True,False,False
122,ASIANHOTNR,Asian Hotels (North) Limited,True,False,False
123,ASIANPAINT,Asian Paints Limited,True,False,False
124,ASIANTILES,Asian Granito India Limited,True,False,False
125,ASPINWALL,Aspinwall and Company Limited,True,False,False
126,ASSAMCO,Assam Company India Limited,True,False,False
127,ASTEC,Astec LifeSciences Limited,True,False,False
128,ASTERDM,Aster DM Healthcare Limited,True,False,False
129,ASTRAL,Astral Poly Technik Limited,True,False,False
130,ASTRAMICRO,Astra Microwave Products Limited,True,False,False
