Date,Symbol,Open,High,Low,Close,Volume,Turnover
2016-11-01 09:17:00,ASHOKLEY_F1,92.3,92.55,92.3,92.35,364000,68369000
2016-11-01 09:18:00,ASHOKLEY_F1,92.35,92.35,92.2,92.3,357000,68369000
2016-11-01 09:19:00,ASHOKLEY_F1,92.3,92.3,92.1,92.1,224000,68369000
2016-11-01 09:20:00,ASHOKLEY_F1,92.05,92.2,92.05,92.2,126000,68551000
2016-11-01 09:21:00,ASHOKLEY_F1,92.2,92.25,92.05,92.05,140000,68551000
2016-11-01 09:22:00,ASHOKLEY_F1,92.0,92.1,91.9,92.0,259000,68551000
2016-11-01 09:23:00,ASHOKLEY_F1,91.9,92.05,91.8,92.05,182000,68635000
2016-11-01 09:24:00,ASHOKLEY_F1,92.0,92.0,91.75,91.75,378000,68635000
2016-11-01 09:25:00,ASHOKLEY_F1,91.75,91.75,91.35,91.35,434000,68635000
2016-11-01 09:26:00,ASHOKLEY_F1,91.3,91.5,91.2,91.5,420000,68789000
2016-11-01 09:27:00,ASHOKLEY_F1,91.55,91.7,91.3,91.35,175000,68789000
2016-11-01 09:28:00,ASHOKLEY_F1,91.3,91.55,91.3,91.45,182000,68789000
2016-11-01 09:29:00,ASHOKLEY_F1,91.45,91.55,91.45,91.5,84000,68887000
2016-11-01 09:30:00,ASHOKLEY_F1,91.55,91.6,91.5,91.6,147000,68887000
2016-11-01 09:31:00,ASHOKLEY_F1,91.55,91.6,91.45,91.6,98000,68887000
2016-11-01 09:32:00,ASHOKLEY_F1,91.6,91.65,91.5,91.6,140000,68894000
2016-11-01 09:33:00,ASHOKLEY_F1,91.65,91.7,91.5,91.6,238000,68894000
2016-11-01 09:34:00,ASHOKLEY_F1,91.6,91.7,91.6,91.65,154000,68894000
2016-11-01 09:35:00,ASHOKLEY_F1,91.6,92.15,91.5,92.1,784000,69195000
2016-11-01 09:36:00,ASHOKLEY_F1,92.0,92.0,91.85,91.85,140000,69195000
2016-11-01 09:37:00,ASHOKLEY_F1,91.8,91.9,91.8,91.8,182000,69195000
2016-11-01 09:38:00,ASHOKLEY_F1,91.75,91.8,91.7,91.7,126000,69433000
2016-11-01 09:39:00,ASHOKLEY_F1,91.65,92.0,91.65,91.8,595000,69433000
2016-11-01 09:40:00,ASHOKLEY_F1,91.75,91.75,91.6,91.6,217000,69433000
2016-11-01 09:41:00,ASHOKLEY_F1,91.5,91.65,91.5,91.65,133000,69580000
2016-11-01 09:42:00,ASHOKLEY_F1,91.55,91.65,91.5,91.5,168000,69580000
2016-11-01 09:43:00,ASHOKLEY_F1,91.5,91.55,91.45,91.45,84000,69580000
2016-11-01 09:44:00,ASHOKLEY_F1,91.5,91.5,91.4,91.45,28000,69580000
2016-11-01 09:45:00,ASHOKLEY_F1,91.4,91.55,91.4,91.55,245000,69636000
2016-11-01 09:46:00,ASHOKLEY_F1,91.55,91.55,91.4,91.45,161000,69636000
2016-11-01 09:47:00,ASHOKLEY_F1,91.4,91.45,91.35,91.35,70000,69657000
2016-11-01 09:48:00,ASHOKLEY_F1,91.45,91.45,91.4,91.45,112000,69657000
2016-11-01 09:49:00,ASHOKLEY_F1,91.5,91.5,91.4,91.5,77000,69657000
2016-11-01 09:50:00,ASHOKLEY_F1,91.4,91.5,91.4,91.5,105000,69678000
