,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
55,9750,-75,240,8.58,8.10,2.40,75,7.35,8.40,75,11850.00,375,440.40,469.85,375,-,-,-,-,-,-
56,359625,-86700,17844,8.82,6.10,1.50,525,6.00,6.20,75,11900.00,75,499.20,509.80,225,-107.75,501.15,15.84,12,-,6225
57,675,450,14,9.49,5.85,0.85,150,4.10,5.85,75,11950.00,750,534.00,565.95,375,-,-,-,-,-,-
58,1670700,-245550,31673,9.72,4.50,0.70,5400,4.50,4.60,2925,12000.00,75,600.00,606.95,75,-109.65,602.70,18.18,451,-12150,667275
59,375,75,1,10.39,4.45,0.45,3000,2.00,4.95,150,12050.00,750,626.15,668.95,375,-,-,-,-,-,-
60,56025,19050,1199,10.19,2.70,-0.05,825,2.70,2.80,600,12100.00,150,693.40,708.65,75,-,770.30,-,-,-,1200
61,75,-,-,-,7.00,-,75,1.50,4.00,3000,12150.00,750,722.65,767.95,375,-,-,-,-,-,-
62,68700,25575,441,11.18,2.30,-,1875,2.30,2.70,300,12200.00,75,795.40,803.95,150,-59.00,814.70,23.87,3,-,18975
63,-,-,-,-,-,-,6000,0.80,3.30,3000,12250.00,75,821.25,867.50,75,-,-,-,-,-,-
64,72750,-1125,314,12.05,1.90,-0.25,300,1.85,1.90,1200,12300.00,75,895.80,901.30,300,-120.20,894.90,23.11,140,-,55425
65,-,-,-,-,-,-,6000,0.60,3.00,3000,12350.00,300,934.95,953.30,75,-,-,-,-,-,-
66,15300,3225,84,13.30,2.00,0.30,150,1.50,2.00,2925,12400.00,75,989.10,1006.65,75,-,1095.95,-,-,-,9225
67,-,-75,1,11.75,0.50,-2.50,750,0.70,3.00,3000,12450.00,750,1022.05,1064.00,900,-,-,-,-,-,-
68,190500,-28650,2859,13.79,1.40,-0.05,225,1.40,1.50,150,12500.00,75,1093.70,1099.75,75,-111.20,1098.00,27.33,296,-3525,234900
69,225,-,-,-,0.10,-,6000,0.55,1.00,75,12550.00,75,1120.05,1164.40,75,-,1219.20,-,-,-,75
70,15450,5100,112,15.23,1.70,0.45,3000,1.50,1.55,600,12600.00,75,1190.70,1198.65,75,-100.95,1194.40,28.56,3,225,14100
71,-,-,-,-,-,-,6000,0.30,3.00,6000,12650.00,225,1233.45,1258.90,75,-,-,-,-,-,-
72,-,-,-,-,-,-,3600,0.45,1.75,1500,12700.00,150,1286.05,1314.40,75,-,-,-,-,-,-
73,-,-,-,-,-,-,6000,0.10,3.00,6000,12750.00,75,1325.65,1360.90,225,-,-,-,-,-,-
74,150,-,1,15.81,0.75,-1.20,75,1.00,1.45,75,12800.00,225,1383.40,1408.60,75,-,-,-,-,-,-
75,150,75,1,18.15,1.90,-1.10,75,0.45,1.75,1500,12850.00,300,1432.40,1459.75,150,-,-,-,-,-,-
