symbol,Days,RSI,BBANDS,MA1,MA2,MA3,MA4,MSE,RMSE,Actual,Forcasted
BANKNIFTY,1,10,10,20,51,252,-,0.003643774136969256,0.06036368226814245,[[25531.6]],[[25556.555]]
BANKNIFTY,15,10,10,20,50,252,-,0.0051831346979561,0.07199399070725347,"[[25226.8 ]
 [25098.25]
 [25195.1 ]
 [25200.6 ]
 [25320.85]
 [25334.45]
 [25102.3 ]
 [25126.15]
 [24943.85]
 [24960.65]
 [25042.1 ]
 [24814.4 ]
 [25010.9 ]
 [25394.6 ]
 [25531.6 ]]","[[25411.904]
 [24839.555]
 [25049.037]
 [25085.957]
 [25076.51 ]
 [25182.068]
 [23960.988]
 [24104.348]
 [23706.785]
 [23602.828]
 [23791.584]
 [23302.713]
 [24256.588]
 [25462.05 ]
 [25256.611]]"
BANKNIFTY,60,10,10,21,51,252,-,0.010090123105659885,0.100449604805892,"[[27379.45]
 [27220.7 ]
 [26451.15]
 [26098.75]
 [25811.3 ]
 [25670.  ]
 [25920.65]
 [25463.65]
 [25701.6 ]
 [25341.25]
 [25424.35]
 [25163.9 ]
 [25058.55]
 [24874.4 ]
 [24936.7 ]
 [24955.2 ]
 [25302.5 ]
 [25687.9 ]
 [25383.6 ]
 [25107.4 ]
 [24902.55]
 [24818.7 ]
 [24448.45]
 [24134.1 ]
 [24477.65]
 [24296.45]
 [24664.2 ]
 [24738.65]
 [24851.65]
 [24791.85]
 [24489.55]
 [24245.1 ]
 [24168.2 ]
 [24255.6 ]
 [24141.5 ]
 [23670.4 ]
 [24244.35]
 [24434.15]
 [24263.35]
 [24328.5 ]
 [24510.6 ]
 [24129.5 ]
 [24759.8 ]
 [24873.15]
 [25093.8 ]
 [25226.8 ]
 [25098.25]
 [25195.1 ]
 [25200.6 ]
 [25320.85]
 [25334.45]
 [25102.3 ]
 [25126.15]
 [24943.85]
 [24960.65]
 [25042.1 ]
 [24814.4 ]
 [25010.9 ]
 [25394.6 ]
 [25531.6 ]]","[[28221.139]
 [27632.74 ]
 [25968.727]
 [25325.014]
 [25249.98 ]
 [25359.38 ]
 [25616.393]
 [24903.92 ]
 [25720.36 ]
 [25469.361]
 [25693.133]
 [24842.154]
 [24468.602]
 [24084.916]
 [23537.492]
 [23595.684]
 [23984.307]
 [24791.229]
 [25361.156]
 [24908.104]
 [23992.848]
 [23393.559]
 [23115.932]
 [23147.434]
 [23755.56 ]
 [22970.201]
 [24228.062]
 [24535.723]
 [24361.586]
 [23739.715]
 [23549.906]
 [22886.818]
 [22597.947]
 [22343.623]
 [22694.594]
 [22482.336]
 [23623.148]
 [23987.248]
 [23584.787]
 [22695.41 ]
 [23029.348]
 [22962.252]
 [24091.432]
 [24679.219]
 [24489.615]
 [25490.322]
 [24909.   ]
 [25114.592]
 [25153.295]
 [25140.523]
 [25247.295]
 [24042.744]
 [24195.344]
 [23801.613]
 [23691.633]
 [23878.416]
 [23388.188]
 [24352.836]
 [25561.684]
 [25339.492]]"
ICICIBANK,60,10,10,20,50,252,-,0.028911566,1.2,"[[352.95]
 [346.2 ]
 [335.1 ]
 [329.7 ]
 [330.7 ]
 [332.55]
 [333.85]
 [326.75]
 [326.25]
 [318.95]
 [328.65]
 [321.05]
 [319.75]
 [317.25]
 [319.2 ]
 [318.35]
 [322.75]
 [327.05]
 [322.15]
 [313.25]
 [304.95]
 [303.35]
 [295.05]
 [286.7 ]
 [296.95]
 [292.7 ]
 [300.65]
 [304.35]
 [306.05]
 [301.45]
 [298.1 ]
 [294.55]
 [292.  ]
 [289.2 ]
 [283.25]
 [275.55]
 [281.65]
 [283.9 ]
 [278.35]
 [261.85]
 [270.05]
 [268.65]
 [278.65]
 [280.65]
 [280.85]
 [288.8 ]
 [284.55]
 [286.75]
 [288.25]
 [287.6 ]
 [291.75]
 [290.05]
 [289.6 ]
 [282.15]
 [279.4 ]
 [284.1 ]
 [278.9 ]
 [278.85]
 [287.9 ]
 [284.2 ]]","[[432.49353]
 [415.47964]
 [326.1326 ]
 [303.87164]
 [309.20053]
 [303.43103]
 [304.90668]
 [269.16727]
 [263.87558]
 [256.6465 ]
 [337.85324]
 [291.07693]
 [290.44653]
 [269.35657]
 [262.21622]
 [306.0222 ]
 [280.43835]
 [305.00253]
 [287.35236]
 [270.79684]
 [247.53366]
 [226.39882]
 [218.97522]
 [235.80037]
 [264.0949 ]
 [226.45744]
 [264.08664]
 [293.13995]
 [291.59973]
 [274.36606]
 [308.5625 ]
 [247.00227]
 [227.9726 ]
 [227.04819]
 [240.38283]
 [239.0819 ]
 [255.73538]
 [264.24863]
 [258.92633]
 [357.74887]
 [296.75366]
 [271.14426]
 [298.21616]
 [324.56268]
 [325.5687 ]
 [402.7133 ]
 [298.5743 ]
 [326.9915 ]
 [317.86084]
 [311.5489 ]
 [328.53247]
 [336.27036]
 [321.7685 ]
 [285.25345]
 [243.76125]
 [285.68704]
 [237.15234]
 [254.73137]
 [316.0019 ]
 [277.08426]]"
SYNDIBANK,1,10,10,20,50,252,-,0.002041445401132161,0.045182357188754116,[[55.1]],[[61.276085]]
SYNDIBANK,15,10,10,21,51,252,-,0.006748875376263228,0.08215153909856605,"[[60.6 ]
 [58.95]
 [58.35]
 [58.25]
 [58.2 ]
 [57.95]
 [57.35]
 [57.05]
 [55.4 ]
 [55.2 ]
 [54.75]
 [53.95]
 [52.85]
 [54.25]
 [55.1 ]]","[[72.02996 ]
 [69.764786]
 [69.43019 ]
 [68.77657 ]
 [67.40436 ]
 [67.88508 ]
 [66.67069 ]
 [65.80046 ]
 [65.89727 ]
 [63.458965]
 [62.834164]
 [62.460026]
 [61.122597]
 [65.05529 ]
 [65.00541 ]]"
SYNDIBANK,60,10,10,20,51,252,-,0.026746324870283857,0.163543036752666,"[[72.55]
 [69.35]
 [67.15]
 [66.15]
 [63.45]
 [64.  ]
 [65.4 ]
 [65.  ]
 [65.75]
 [63.  ]
 [61.4 ]
 [59.55]
 [55.6 ]
 [58.45]
 [58.8 ]
 [59.7 ]
 [60.6 ]
 [60.55]
 [58.65]
 [61.1 ]
 [60.65]
 [59.3 ]
 [56.3 ]
 [55.35]
 [55.75]
 [54.35]
 [54.35]
 [57.75]
 [60.7 ]
 [61.2 ]
 [62.7 ]
 [60.5 ]
 [60.3 ]
 [59.55]
 [58.15]
 [53.7 ]
 [55.85]
 [56.85]
 [55.45]
 [56.5 ]
 [57.95]
 [56.65]
 [59.85]
 [60.6 ]
 [60.75]
 [60.6 ]
 [58.95]
 [58.35]
 [58.25]
 [58.2 ]
 [57.95]
 [57.35]
 [57.05]
 [55.4 ]
 [55.2 ]
 [54.75]
 [53.95]
 [52.85]
 [54.25]
 [55.1 ]]","[[89.67082 ]
 [89.386055]
 [89.742966]
 [87.40571 ]
 [86.95124 ]
 [86.30769 ]
 [86.21172 ]
 [85.72699 ]
 [87.030624]
 [85.868546]
 [84.25119 ]
 [83.1442  ]
 [84.66489 ]
 [85.74953 ]
 [83.86877 ]
 [84.13313 ]
 [84.69591 ]
 [84.34619 ]
 [83.23836 ]
 [86.33551 ]
 [84.66789 ]
 [83.335526]
 [82.51702 ]
 [82.01353 ]
 [82.54178 ]
 [81.387314]
 [81.65148 ]
 [86.60224 ]
 [87.84258 ]
 [87.55067 ]
 [92.130226]
 [87.32323 ]
 [85.869354]
 [85.980995]
 [84.3835  ]
 [83.81211 ]
 [84.80603 ]
 [84.60093 ]
 [83.59682 ]
 [83.30178 ]
 [85.467926]
 [83.77805 ]
 [86.29269 ]
 [86.52218 ]
 [86.79133 ]
 [86.35933 ]
 [85.061066]
 [84.86195 ]
 [84.474754]
 [83.68758 ]
 [83.95084 ]
 [83.244896]
 [82.74303 ]
 [82.78005 ]
 [81.369286]
 [80.99401 ]
 [80.7678  ]
 [79.980644]
 [82.30784 ]
 [82.279526]]"
TCS,1,10,10,20,50,252,-,0.00222021,0.4,[[3532.1]],[[3586.5713]]
TCS,15,10,10,20,50,252,-,0.004161695,0.8,"[[2937.6 ]
 [3014.15]
 [3139.25]
 [3153.3 ]
 [3187.65]
 [3166.6 ]
 [3159.1 ]
 [3191.15]
 [3402.45]
 [3408.65]
 [3385.65]
 [3470.25]
 [3539.25]
 [3451.95]
 [3532.1 ]]","[[2837.5027]
 [2969.688 ]
 [3168.4556]
 [3260.5515]
 [3297.3179]
 [3269.9954]
 [3247.958 ]
 [3304.8528]
 [3604.6252]
 [3655.345 ]
 [3560.4233]
 [3614.3862]
 [3736.762 ]
 [3577.9844]
 [3616.6567]]"
TCS,60,10,10,20,50,252,-,0.006309535,0.0,"[[3112.35]
 [3138.6 ]
 [3153.65]
 [3103.2 ]
 [2997.25]
 [2955.05]
 [2974.2 ]
 [2971.7 ]
 [2967.3 ]
 [2911.8 ]
 [2925.85]
 [2933.05]
 [2923.6 ]
 [2944.75]
 [3042.3 ]
 [3050.2 ]
 [3075.8 ]
 [3031.7 ]
 [3042.35]
 [3035.05]
 [3037.7 ]
 [3105.85]
 [3042.8 ]
 [3027.45]
 [3003.95]
 [3034.1 ]
 [3052.15]
 [2886.8 ]
 [2886.9 ]
 [2869.7 ]
 [2825.7 ]
 [2831.  ]
 [2864.85]
 [2856.75]
 [2831.35]
 [2818.15]
 [2817.  ]
 [2847.7 ]
 [2849.15]
 [2909.65]
 [2911.25]
 [2910.9 ]
 [2957.95]
 [2950.3 ]
 [2923.9 ]
 [2937.6 ]
 [3014.15]
 [3139.25]
 [3153.3 ]
 [3187.65]
 [3166.6 ]
 [3159.1 ]
 [3191.15]
 [3402.45]
 [3408.65]
 [3385.65]
 [3470.25]
 [3539.25]
 [3451.95]
 [3532.1 ]]","[[3163.941 ]
 [3155.3933]
 [3137.7156]
 [3032.7908]
 [2929.0615]
 [2921.1157]
 [2938.3828]
 [2931.2388]
 [2918.9736]
 [2865.234 ]
 [2867.0435]
 [2855.2905]
 [2804.617 ]
 [2789.1714]
 [2937.842 ]
 [2984.3364]
 [3028.2124]
 [2963.606 ]
 [2975.7312]
 [2966.7952]
 [2963.0156]
 [3053.5686]
 [2954.0957]
 [2900.2642]
 [2871.4297]
 [2899.4177]
 [2929.4036]
 [3309.667 ]
 [2783.4578]
 [2773.6973]
 [2776.1567]
 [2740.0999]
 [2783.7095]
 [2775.3767]
 [2727.2034]
 [2683.3271]
 [2617.2856]
 [2666.5447]
 [2690.753 ]
 [2770.5586]
 [2797.2268]
 [2817.5398]
 [2896.2866]
 [2894.1816]
 [2842.815 ]
 [2857.0637]
 [2979.489 ]
 [3163.044 ]
 [3247.9648]
 [3281.449 ]
 [3256.0952]
 [3235.7256]
 [3288.209 ]
 [3564.1765]
 [3610.2263]
 [3522.774 ]
 [3572.0874]
 [3684.2654]
 [3538.3152]
 [3573.5547]]"
