Symbol,EndTotal,MA_Long,MA_Short,Total_Transactions
'AXISBANK', -6430, 27, 7, 131
'AXISBANK', 57334, 43, 7, 89
'AXISBANK', 60084, 44, 7, 89
'AXISBANK', 67584, 45, 7, 89
'AXISBANK', 68304, 48, 7, 87
'AXISBANK', -18870, 15, 7, 219
'AXISBANK', 9259, 31, 7, 119
'AXISBANK', 56909, 51, 7, 93
'AXISBANK', 59705, 52, 7, 91
'AXISBANK', 79729, 57, 7, 75
'AXISBANK', 72640, 58, 7, 73
'AXISBANK', 92974, 85, 7, 53
'AXISBANK', 83649, 99, 7, 51
'AXISBANK', -6430, 27, 7, 131
'AXISBANK', 71745, 43, 27, 73
'AXISBANK', 84369, 44, 27, 67
'AXISBANK', 79430, 45, 27, 69
'AXISBANK', 55190, 48, 27, 64
'AXISBANK', 35820, 27, 15, 113
'AXISBANK', 61015, 31, 27, 143
'AXISBANK', 32835, 51, 27, 54
'AXISBANK', 39415, 52, 27, 54
'AXISBANK', 29505, 57, 27, 54
'AXISBANK', 29930, 58, 27, 50
'AXISBANK', -14705, 85, 27, 38
'AXISBANK', 22235, 99, 27, 36
'AXISBANK', 57334, 43, 7, 89
'AXISBANK', 71745, 43, 27, 73
'AXISBANK', -11955, 44, 43, 224
'AXISBANK', -26365, 45, 43, 162
'AXISBANK', -56910, 48, 43, 110
'AXISBANK', 107164, 43, 15, 73
'AXISBANK', 222310, 43, 31, 81
'AXISBANK', -39284, 51, 43, 88
'AXISBANK', -46334, 52, 43, 80
'AXISBANK', -35254, 57, 43, 62
'AXISBANK', -37444, 58, 43, 62
'AXISBANK', -19190, 85, 43, 34
'AXISBANK', 54295, 99, 43, 28
'AXISBANK', 60084, 44, 7, 89
'AXISBANK', 84369, 44, 27, 67
'AXISBANK', -11955, 44, 43, 224
'AXISBANK', -20504, 45, 44, 226
'AXISBANK', -64260, 48, 44, 120
'AXISBANK', 111385, 44, 15, 73
'AXISBANK', 62315, 44, 31, 74
'AXISBANK', -51619, 51, 44, 92
'AXISBANK', -49739, 52, 44, 86
'AXISBANK', -49414, 57, 44, 64
'AXISBANK', -33025, 58, 44, 62
'AXISBANK', -18349, 85, 44, 34
'AXISBANK', 54530, 99, 44, 28
'AXISBANK', 67584, 45, 7, 89
'AXISBANK', 79430, 45, 27, 69
'AXISBANK', -26365, 45, 43, 162
'AXISBANK', -20504, 45, 44, 226
'AXISBANK', -38009, 48, 45, 132
'AXISBANK', 105224, 45, 15, 69
'AXISBANK', 62930, 45, 31, 74
'AXISBANK', -55489, 51, 45, 100
'AXISBANK', -42889, 52, 45, 84
'AXISBANK', -53874, 57, 45, 68
'AXISBANK', -28139, 58, 45, 62
'AXISBANK', -1034, 85, 45, 34
'AXISBANK', 49585, 99, 45, 30
'AXISBANK', 68304, 48, 7, 87
'AXISBANK', 55190, 48, 27, 64
'AXISBANK', -56910, 48, 43, 110
'AXISBANK', -64260, 48, 44, 120
'AXISBANK', -38009, 48, 45, 132
'AXISBANK', 84630, 48, 15, 71
'AXISBANK', 65310, 48, 31, 66
'AXISBANK', -10565, 51, 48, 131
'AXISBANK', -1430, 52, 48, 113
'AXISBANK', -5174, 57, 48, 71
'AXISBANK', -27099, 58, 48, 64
'AXISBANK', 23200, 85, 48, 36
'AXISBANK', 75860, 99, 48, 31
'AXISBANK', -18870, 15, 7, 219
'AXISBANK', 35820, 27, 15, 113
'AXISBANK', 107164, 43, 15, 73
'AXISBANK', 111385, 44, 15, 73
'AXISBANK', 105224, 45, 15, 69
'AXISBANK', 84630, 48, 15, 71
'AXISBANK', 76589, 31, 15, 97
'AXISBANK', 82374, 51, 15, 63
'AXISBANK', 92955, 52, 15, 61
'AXISBANK', 48335, 57, 15, 65
'AXISBANK', 59839, 58, 15, 61
'AXISBANK', 50520, 85, 15, 44
'AXISBANK', 54659, 99, 15, 43
'AXISBANK', 9259, 31, 7, 119
'AXISBANK', 61015, 31, 27, 143
'AXISBANK', 222310, 43, 31, 81
'AXISBANK', 62315, 44, 31, 74
'AXISBANK', 62930, 45, 31, 74
'AXISBANK', 65310, 48, 31, 66
'AXISBANK', 76589, 31, 15, 97
'AXISBANK', 71890, 51, 31, 56
'AXISBANK', 68130, 52, 31, 54
'AXISBANK', 68590, 57, 31, 48
'AXISBANK', 48814, 58, 31, 50
'AXISBANK', 7245, 85, 31, 34
'AXISBANK', 3745, 99, 31, 30
'AXISBANK', 56909, 51, 7, 93
'AXISBANK', 32835, 51, 27, 54
'AXISBANK', -39284, 51, 43, 88
'AXISBANK', -51619, 51, 44, 92
'AXISBANK', -55489, 51, 45, 100
'AXISBANK', -10565, 51, 48, 131
'AXISBANK', 82374, 51, 15, 63
'AXISBANK', 71890, 51, 31, 56
'AXISBANK', 4994, 52, 51, 209
'AXISBANK', -6024, 57, 51, 89
'AXISBANK', -16859, 58, 51, 82
'AXISBANK', 21180, 85, 51, 36
'AXISBANK', 77140, 99, 51, 31
'AXISBANK', 59705, 52, 7, 91
'AXISBANK', 39415, 52, 27, 54
'AXISBANK', -46334, 52, 43, 80
'AXISBANK', -49739, 52, 44, 86
'AXISBANK', -42889, 52, 45, 84
'AXISBANK', -1430, 52, 48, 113
'AXISBANK', 92955, 52, 15, 61
'AXISBANK', 68130, 52, 31, 54
'AXISBANK', 4994, 52, 51, 209
'AXISBANK', -12089, 57, 52, 97
'AXISBANK', -19309, 58, 52, 86
'AXISBANK', 28135, 85, 52, 34
'AXISBANK', 82820, 99, 52, 29
'AXISBANK', 79729, 57, 7, 75
'AXISBANK', 29505, 57, 27, 54
'AXISBANK', -35254, 57, 43, 62
'AXISBANK', -49414, 57, 44, 64
'AXISBANK', -53874, 57, 45, 68
'AXISBANK', -5174, 57, 48, 71
'AXISBANK', 48335, 57, 15, 65
'AXISBANK', 68590, 57, 31, 48
'AXISBANK', -6024, 57, 51, 89
'AXISBANK', -12089, 57, 52, 97
'AXISBANK', -15484, 58, 57, 208
'AXISBANK', 66310, 85, 57, 34
'AXISBANK', 71035, 99, 57, 33
'AXISBANK', 72640, 58, 7, 73
'AXISBANK', 29930, 58, 27, 50
'AXISBANK', -37444, 58, 43, 62
'AXISBANK', -33025, 58, 44, 62
'AXISBANK', -28139, 58, 45, 62
'AXISBANK', -27099, 58, 48, 64
'AXISBANK', 59839, 58, 15, 61
'AXISBANK', 48814, 58, 31, 50
'AXISBANK', -16859, 58, 51, 82
'AXISBANK', -19309, 58, 52, 86
'AXISBANK', -15484, 58, 57, 208
'AXISBANK', 76415, 85, 58, 34
'AXISBANK', 79905, 99, 58, 31
'AXISBANK', 92974, 85, 7, 53
'AXISBANK', -14705, 85, 27, 38
'AXISBANK', -19190, 85, 43, 34
'AXISBANK', -18349, 85, 44, 34
'AXISBANK', -1034, 85, 45, 34
'AXISBANK', 23200, 85, 48, 36
'AXISBANK', 50520, 85, 15, 44
'AXISBANK', 7245, 85, 31, 34
'AXISBANK', 21180, 85, 51, 36
'AXISBANK', 28135, 85, 52, 34
'AXISBANK', 66310, 85, 57, 34
'AXISBANK', 76415, 85, 58, 34
'AXISBANK', 78290, 99, 85, 41
'AXISBANK', 83649, 99, 7, 51
