symbol,Days,RSI,BBANDS,MA1,MA2,MA3,MA4,MSE,RMSE,Actual,Forcasted
SYNDIBANK,1,10,10,20,50,252,-,0.0035656571011752525,0.05971312335806303,[[52.95]],[[49.90317]]
SYNDIBANK,1,10,10,20,51,252,-,0.004021043780239973,0.06341170065721288,[[52.95]],[[49.31827]]
SYNDIBANK,1,10,10,20,52,252,-,0.002940503498935636,0.054226409607640774,[[52.95]],[[51.326813]]
SYNDIBANK,1,10,10,20,53,252,-,0.0029738380306182388,0.054532907777031646,[[52.95]],[[53.862625]]
SYNDIBANK,1,10,10,21,50,252,-,0.0032616675276547036,0.05711101056411717,[[52.95]],[[51.831467]]
SYNDIBANK,1,10,10,21,51,252,-,0.003713490451349223,0.06093841523496671,[[52.95]],[[50.39547]]
SYNDIBANK,1,10,10,21,52,252,-,0.003912102277489736,0.06254680069747562,[[52.95]],[[49.710285]]
SYNDIBANK,1,10,10,21,53,252,-,0.0034351731957669588,0.05861035058560014,[[52.95]],[[50.218204]]
SYNDIBANK,1,10,10,22,50,252,-,0.002851868459479289,0.053402888119270187,[[52.95]],[[54.267384]]
SYNDIBANK,1,10,10,22,51,252,-,0.0031979587622620958,0.056550497453710304,[[52.95]],[[51.205994]]
SYNDIBANK,1,10,10,22,52,252,-,0.003470128724113741,0.05890779849997572,[[52.95]],[[50.504013]]
SYNDIBANK,1,10,10,22,53,252,-,0.003528507619581007,0.05940124257606912,[[52.95]],[[49.53694]]
SYNDIBANK,1,10,10,23,50,252,-,0.003188289414615707,0.0564649396937224,[[52.95]],[[51.526276]]
SYNDIBANK,1,10,10,23,51,252,-,0.0034960882956201725,0.05912772865263955,[[52.95]],[[51.94526]]
SYNDIBANK,1,10,10,23,52,252,-,0.0030880133730379193,0.055569896284210565,[[52.95]],[[51.350708]]
SYNDIBANK,1,10,10,23,53,252,-,0.0036582718751928273,0.06048364965172676,[[52.95]],[[49.329018]]
SYNDIBANK,15,10,10,20,50,252,-,0.006588878225203838,0.08117190539345394,"[[58.35]
 [58.25]
 [58.2 ]
 [57.95]
 [57.35]
 [57.05]
 [55.4 ]
 [55.2 ]
 [54.75]
 [53.95]
 [52.85]
 [54.25]
 [55.1 ]
 [53.75]
 [52.95]]","[[71.39056 ]
 [71.61911 ]
 [68.77974 ]
 [67.78151 ]
 [69.518135]
 [69.151344]
 [67.38396 ]
 [66.8636  ]
 [70.74849 ]
 [67.782166]
 [72.24056 ]
 [72.64587 ]
 [73.111244]
 [72.332466]
 [70.03395 ]]"
SYNDIBANK,15,10,10,20,51,252,-,0.008346275230485808,0.09135795110709198,"[[58.35]
 [58.25]
 [58.2 ]
 [57.95]
 [57.35]
 [57.05]
 [55.4 ]
 [55.2 ]
 [54.75]
 [53.95]
 [52.85]
 [54.25]
 [55.1 ]
 [53.75]
 [52.95]]","[[69.27277 ]
 [69.49959 ]
 [66.72697 ]
 [65.75569 ]
 [67.45026 ]
 [67.09066 ]
 [65.36473 ]
 [64.85648 ]
 [68.65876 ]
 [65.76729 ]
 [70.119896]
 [70.5148  ]
 [70.96547 ]
 [70.207016]
 [67.96649 ]]"
SYNDIBANK,15,10,10,20,52,252,-,0.007798576219423539,0.08830954772516694,"[[58.35]
 [58.25]
 [58.2 ]
 [57.95]
 [57.35]
 [57.05]
 [55.4 ]
 [55.2 ]
 [54.75]
 [53.95]
 [52.85]
 [54.25]
 [55.1 ]
 [53.75]
 [52.95]]","[[64.92038 ]
 [65.171165]
 [62.137108]
 [61.073803]
 [62.926487]
 [62.53191 ]
 [60.642406]
 [60.0918  ]
 [64.2685  ]
 [61.10963 ]
 [65.87944 ]
 [66.31103 ]
 [66.799065]
 [65.969986]
 [63.519386]]"
SYNDIBANK,15,10,10,20,53,252,-,0.00988800285703254,0.09943843752308532,"[[58.35]
 [58.25]
 [58.2 ]
 [57.95]
 [57.35]
 [57.05]
 [55.4 ]
 [55.2 ]
 [54.75]
 [53.95]
 [52.85]
 [54.25]
 [55.1 ]
 [53.75]
 [52.95]]","[[66.159096]
 [66.38686 ]
 [63.47634 ]
 [62.45866 ]
 [64.25046 ]
 [63.87075 ]
 [62.05698 ]
 [61.523273]
 [65.49408 ]
 [62.44225 ]
 [67.02046 ]
 [67.43509 ]
 [67.91651 ]
 [67.11925 ]
 [64.75823 ]]"
SYNDIBANK,15,10,10,21,50,252,-,0.01024369079692374,0.10121111992722806,"[[58.35]
 [58.25]
 [58.2 ]
 [57.95]
 [57.35]
 [57.05]
 [55.4 ]
 [55.2 ]
 [54.75]
 [53.95]
 [52.85]
 [54.25]
 [55.1 ]
 [53.75]
 [52.95]]","[[65.51366 ]
 [65.7633  ]
 [62.854206]
 [61.84189 ]
 [63.62243 ]
 [63.243397]
 [61.42921 ]
 [60.89714 ]
 [64.892876]
 [61.8537  ]
 [66.41334 ]
 [66.82123 ]
 [67.2947  ]
 [66.4919  ]
 [64.14354 ]]"
SYNDIBANK,15,10,10,21,51,252,-,0.00860922356942212,0.09278590178158598,"[[58.35]
 [58.25]
 [58.2 ]
 [57.95]
 [57.35]
 [57.05]
 [55.4 ]
 [55.2 ]
 [54.75]
 [53.95]
 [52.85]
 [54.25]
 [55.1 ]
 [53.75]
 [52.95]]","[[68.44642 ]
 [68.68818 ]
 [65.84726 ]
 [64.85335 ]
 [66.58611 ]
 [66.2187  ]
 [64.44804 ]
 [63.93667 ]
 [67.84223 ]
 [64.88506 ]
 [69.33971 ]
 [69.743866]
 [70.20175 ]
 [69.42073 ]
 [67.12411 ]]"
