symbol,Days,RSI,BBANDS,MA1,MA2,MA3,MA4,MSE,RMSE,Dates,Actual,Forcasted
SYNDIBANK,1,10,10,20,53,252,-,0.04094047188727213,0.20233751972205288,['2018-05-10T00:00:00.000000000'],[51.5],[[70.03251]]
SYNDIBANK,15,10,10,21,53,252,-,0.04820190965161695,0.2195493330703078,"['2018-04-18T00:00:00.000000000' '2018-04-19T00:00:00.000000000'
 '2018-04-20T00:00:00.000000000' '2018-04-21T00:00:00.000000000'
 '2018-04-22T00:00:00.000000000' '2018-04-23T00:00:00.000000000'
 '2018-04-24T00:00:00.000000000' '2018-04-25T00:00:00.000000000'
 '2018-04-26T00:00:00.000000000' '2018-04-27T00:00:00.000000000'
 '2018-04-28T00:00:00.000000000' '2018-04-29T00:00:00.000000000'
 '2018-04-30T00:00:00.000000000' '2018-05-01T00:00:00.000000000'
 '2018-05-02T00:00:00.000000000']","[57.35 57.05 55.4  55.2  54.75 53.95 52.85 54.25 55.1  53.75 52.95 53.2
 53.4  52.7  51.5 ]","[[71.29701 ]
 [71.20915 ]
 [70.78197 ]
 [70.65655 ]
 [71.58965 ]
 [70.87835 ]
 [71.93973 ]
 [72.03558 ]
 [72.14514 ]
 [71.9616  ]
 [71.41755 ]
 [71.33684 ]
 [71.177246]
 [70.84168 ]
 [70.95841 ]]"
SYNDIBANK,1,10,10,21,53,252,-,0.0510860373228472,0.226022205375594,['2018-05-10T00:00:00.000000000'],[51.5],[[67.74168]]
SYNDIBANK,15,10,10,21,52,252,-,0.05121683503513212,0.2263113674456768,"['2018-04-18T00:00:00.000000000' '2018-04-19T00:00:00.000000000'
 '2018-04-20T00:00:00.000000000' '2018-04-21T00:00:00.000000000'
 '2018-04-22T00:00:00.000000000' '2018-04-23T00:00:00.000000000'
 '2018-04-24T00:00:00.000000000' '2018-04-25T00:00:00.000000000'
 '2018-04-26T00:00:00.000000000' '2018-04-27T00:00:00.000000000'
 '2018-04-28T00:00:00.000000000' '2018-04-29T00:00:00.000000000'
 '2018-04-30T00:00:00.000000000' '2018-05-01T00:00:00.000000000'
 '2018-05-02T00:00:00.000000000']","[57.35 57.05 55.4  55.2  54.75 53.95 52.85 54.25 55.1  53.75 52.95 53.2
 53.4  52.7  51.5 ]","[[71.623604]
 [71.537   ]
 [71.11575 ]
 [70.992294]
 [71.90939 ]
 [71.20665 ]
 [72.2535  ]
 [72.34744 ]
 [72.45652 ]
 [72.27567 ]
 [71.73886 ]
 [71.65867 ]
 [71.500404]
 [71.17029 ]
 [71.284676]]"
SYNDIBANK,1,10,10,22,51,252,-,0.051321895860309566,0.22654336419394314,['2018-05-10T00:00:00.000000000'],[51.5],[[67.794716]]
SYNDIBANK,1,10,10,20,50,252,-,0.05208018871376216,0.2282108426735289,['2018-05-10T00:00:00.000000000'],[51.5],[[66.889015]]
SYNDIBANK,1,10,10,21,51,252,-,0.05244337092697494,0.22900517663794184,['2018-05-10T00:00:00.000000000'],[51.5],[[68.20513]]
SYNDIBANK,15,10,10,20,53,252,-,0.05244539602300821,0.2290095981023682,"['2018-04-18T00:00:00.000000000' '2018-04-19T00:00:00.000000000'
 '2018-04-20T00:00:00.000000000' '2018-04-21T00:00:00.000000000'
 '2018-04-22T00:00:00.000000000' '2018-04-23T00:00:00.000000000'
 '2018-04-24T00:00:00.000000000' '2018-04-25T00:00:00.000000000'
 '2018-04-26T00:00:00.000000000' '2018-04-27T00:00:00.000000000'
 '2018-04-28T00:00:00.000000000' '2018-04-29T00:00:00.000000000'
 '2018-04-30T00:00:00.000000000' '2018-05-01T00:00:00.000000000'
 '2018-05-02T00:00:00.000000000']","[57.35 57.05 55.4  55.2  54.75 53.95 52.85 54.25 55.1  53.75 52.95 53.2
 53.4  52.7  51.5 ]","[[70.193344]
 [70.11793 ]
 [69.74836 ]
 [69.638176]
 [70.43226 ]
 [69.80964 ]
 [70.73223 ]
 [70.81686 ]
 [70.91664 ]
 [70.757835]
 [70.282166]
 [70.20995 ]
 [70.06603 ]
 [69.77455 ]
 [69.87117 ]]"
SYNDIBANK,1,10,10,23,53,252,-,0.05253071002583089,0.2291957897209957,['2018-05-10T00:00:00.000000000'],[51.5],[[67.639854]]
SYNDIBANK,1,10,10,23,52,252,-,0.056376821217137024,0.23743803658457305,['2018-05-10T00:00:00.000000000'],[51.5],[[65.34135]]
SYNDIBANK,1,10,10,20,52,252,-,0.05704790680429993,0.23884703641514984,['2018-05-10T00:00:00.000000000'],[51.5],[[67.59413]]
SYNDIBANK,1,10,10,21,50,252,-,0.0577266924478699,0.24026379762225916,['2018-05-10T00:00:00.000000000'],[51.5],[[67.153145]]
SYNDIBANK,1,10,10,22,50,252,-,0.05803915139311437,0.2409131615190718,['2018-05-10T00:00:00.000000000'],[51.5],[[66.51852]]
