symbol,Days,RSI,BBANDS,MA1,MA2,MA3,MA4,MSE,RMSE,Dates,Actual,Forcasted,model
NIFTY,15,20,10,8,15,13,,0.0010544145734295322,0.03247175039060155,"['2018-05-07T00:00' '2018-05-08T00:00' '2018-05-09T00:00'
 '2018-05-10T00:00' '2018-05-11T00:00' '2018-05-14T00:00'
 '2018-05-15T00:00' '2018-05-16T00:00' '2018-05-17T00:00'
 '2018-05-18T00:00' '2018-05-21T00:00' '2018-05-22T00:00'
 '2018-05-23T00:00' '2018-05-24T00:00' '2018-05-25T00:00']","[10715.5, 10717.8, 10741.7, 10716.55, 10806.5, 10806.6, 10801.85, 10741.1, 10682.7, 10596.4, 10516.7, 10536.7, 10430.35, 10513.85, 10605.15]","[10597.96, 10671.1, 10641.52, 10596.39, 10574.96, 10567.13, 10606.74, 10611.02, 10571.39, 10484.98, 10574.01, 10714.17, 10618.51, 10572.65, 10505.39]",SVR
AXISBANK,1,20,10,8,15,13,,0.001149233995328016,0.033900353911545174,['2018-05-25T00:00'],[538.5],[535.21],SVR
SYNDIBANK_F1,15,20,10,8,15,13,,0.001429129143867098,0.037803824460854465,"['2016-11-30T15:16' '2016-11-30T15:17' '2016-11-30T15:18'
 '2016-11-30T15:19' '2016-11-30T15:20' '2016-11-30T15:21'
 '2016-11-30T15:22' '2016-11-30T15:23' '2016-11-30T15:24'
 '2016-11-30T15:25' '2016-11-30T15:28' '2016-11-30T15:29'
 '2016-11-30T15:30' '2016-11-30T15:31' '2016-11-30T16:31']","[67.7, 67.75, 67.8, 67.75, 67.65, 67.6, 67.6, 67.65, 67.5, 67.55, 67.6, 67.55, 67.65, 67.85, 67.7]","[67.96, 68.01, 67.89, 68.07, 67.71, 67.99, 67.9, 67.76, 67.5, 67.54, 67.52, 67.53, 67.5, 67.55, 67.5]",SVR
SYNDIBANK_F1,15,20,10,8,15,13,,0.0014400568220112914,0.037948080610372005,"['2016-11-30T15:16' '2016-11-30T15:17' '2016-11-30T15:18'
 '2016-11-30T15:19' '2016-11-30T15:20' '2016-11-30T15:21'
 '2016-11-30T15:22' '2016-11-30T15:23' '2016-11-30T15:24'
 '2016-11-30T15:25' '2016-11-30T15:28' '2016-11-30T15:29'
 '2016-11-30T15:30' '2016-11-30T15:31' '2016-11-30T16:31']","[67.7, 67.75, 67.8, 67.75, 67.65, 67.6, 67.6, 67.65, 67.5, 67.55, 67.6, 67.55, 67.65, 67.85, 67.7]","[67.99, 68.02, 67.9, 68.07, 67.76, 68.05, 67.91, 67.75, 67.59, 67.57, 67.49, 67.47, 67.53, 67.49, 67.52]",SVR
SYNDIBANK_F1,15,20,10,8,15,13,,0.0015029623181176078,0.038768057961646826,"['2016-11-30T15:16' '2016-11-30T15:17' '2016-11-30T15:18'
 '2016-11-30T15:19' '2016-11-30T15:20' '2016-11-30T15:21'
 '2016-11-30T15:22' '2016-11-30T15:23' '2016-11-30T15:24'
 '2016-11-30T15:25' '2016-11-30T15:28' '2016-11-30T15:29'
 '2016-11-30T15:30' '2016-11-30T15:31' '2016-11-30T16:31']","[67.7, 67.75, 67.8, 67.75, 67.65, 67.6, 67.6, 67.65, 67.5, 67.55, 67.6, 67.55, 67.65, 67.85, 67.7]","[68.01, 68.05, 67.92, 68.11, 67.74, 68.03, 67.9, 67.74, 67.51, 67.52, 67.48, 67.49, 67.52, 67.53, 67.56]",SVR
SYNDIBANK_F1,15,20,10,8,15,13,,0.0015299851711984142,0.039115024877895886,"['2016-11-30T15:16' '2016-11-30T15:17' '2016-11-30T15:18'
 '2016-11-30T15:19' '2016-11-30T15:20' '2016-11-30T15:21'
 '2016-11-30T15:22' '2016-11-30T15:23' '2016-11-30T15:24'
 '2016-11-30T15:25' '2016-11-30T15:28' '2016-11-30T15:29'
 '2016-11-30T15:30' '2016-11-30T15:31' '2016-11-30T16:31']","[67.7, 67.75, 67.8, 67.75, 67.65, 67.6, 67.6, 67.65, 67.5, 67.55, 67.6, 67.55, 67.65, 67.85, 67.7]","[67.95, 67.96, 67.88, 68.02, 67.76, 67.98, 67.9, 67.77, 67.58, 67.56, 67.51, 67.51, 67.51, 67.55, 67.57]",SVR
SYNDIBANK_F1,15,20,10,8,15,13,,0.001667736568916432,0.04083793051706259,"['2016-11-30T15:16' '2016-11-30T15:17' '2016-11-30T15:18'
 '2016-11-30T15:19' '2016-11-30T15:20' '2016-11-30T15:21'
 '2016-11-30T15:22' '2016-11-30T15:23' '2016-11-30T15:24'
 '2016-11-30T15:25' '2016-11-30T15:28' '2016-11-30T15:29'
 '2016-11-30T15:30' '2016-11-30T15:31' '2016-11-30T16:31']","[67.7, 67.75, 67.8, 67.75, 67.65, 67.6, 67.6, 67.65, 67.5, 67.55, 67.6, 67.55, 67.65, 67.85, 67.7]","[67.97, 67.98, 67.91, 68.04, 67.79, 68.01, 67.9, 67.77, 67.58, 67.56, 67.51, 67.5, 67.55, 67.53, 67.57]",SVR
AXISBANK,15,20,10,8,15,13,,0.003790419342306674,0.0615663815917963,"['2018-05-07T00:00' '2018-05-08T00:00' '2018-05-09T00:00'
 '2018-05-10T00:00' '2018-05-11T00:00' '2018-05-14T00:00'
 '2018-05-15T00:00' '2018-05-16T00:00' '2018-05-17T00:00'
 '2018-05-18T00:00' '2018-05-21T00:00' '2018-05-22T00:00'
 '2018-05-23T00:00' '2018-05-24T00:00' '2018-05-25T00:00']","[536.1, 542.25, 548.5, 547.65, 553.3, 551.9, 549.7, 550.0, 539.45, 532.9, 526.85, 523.3, 520.25, 534.45, 538.5]","[528.96, 536.63, 522.2, 503.61, 498.4, 492.05, 492.79, 491.85, 490.86, 485.58, 707.71, 486.89, 502.66, 514.51, 510.29]",SVR
AXISBANK,15,20,10,8,15,13,,0.003807810005739196,0.061707455025622276,"['2018-05-07T00:00' '2018-05-08T00:00' '2018-05-09T00:00'
 '2018-05-10T00:00' '2018-05-11T00:00' '2018-05-14T00:00'
 '2018-05-15T00:00' '2018-05-16T00:00' '2018-05-17T00:00'
 '2018-05-18T00:00' '2018-05-21T00:00' '2018-05-22T00:00'
 '2018-05-23T00:00' '2018-05-24T00:00' '2018-05-25T00:00']","[536.1, 542.25, 548.5, 547.65, 553.3, 551.9, 549.7, 550.0, 539.45, 532.9, 526.85, 523.3, 520.25, 534.45, 538.5]","[529.09, 536.55, 520.91, 503.62, 500.22, 491.38, 492.08, 490.07, 485.71, 493.75, 781.41, 498.36, 505.36, 514.86, 508.95]",SVR
TCS,15,20,10,8,15,13,,0.00495699638946548,0.070405940015495,"['2018-05-07T00:00' '2018-05-08T00:00' '2018-05-09T00:00'
 '2018-05-10T00:00' '2018-05-11T00:00' '2018-05-14T00:00'
 '2018-05-15T00:00' '2018-05-16T00:00' '2018-05-17T00:00'
 '2018-05-18T00:00' '2018-05-21T00:00' '2018-05-22T00:00'
 '2018-05-23T00:00' '2018-05-24T00:00' '2018-05-25T00:00']","[3420.95, 3441.2, 3489.3, 3451.25, 3456.95, 3433.55, 3482.4, 3493.9, 3491.8, 3502.05, 3556.75, 3508.9, 3495.1, 3603.7, 3585.8]","[3039.07, 3088.64, 3061.56, 3100.66, 3081.54, 3593.21, 3650.46, 3457.6, 3722.63, 3982.25, 3607.78, 3807.62, 3628.45, 3571.2, 3084.36]",SVR
