,F_OI,Close
2018-04-02,0.06083213773314222,0.16813462226996023
2018-04-03,0.07262234975290927,0.19820981023988615
2018-04-04,0.29032998565279766,0.0
2018-04-05,0.24160688665710195,0.2944504117436466
2018-04-06,0.2940283755778734,0.2953813104189056
2018-04-09,0.33115893511876293,0.35417114214106604
2018-04-10,0.3540825761198787,0.39369853204439664
2018-04-11,0.4503236091184444,0.39871106337271733
2018-04-12,0.541846006695361,0.4559971356963839
2018-04-13,0.6067463733460865,0.49237379162191175
2018-04-16,0.6336681013868961,0.5675617615467239
2018-04-17,0.6819129603060736,0.579448621553885
2018-04-18,0.7298389925075723,0.5617615467239538
2018-04-19,0.7607460545193689,0.61797350519155
2018-04-20,0.805407301131835,0.6285714285714281
2018-04-23,0.8458026462617567,0.6284998209810251
2018-04-24,0.7812019767256497,0.6749731471535974
2018-04-25,0.8546787820819384,0.6050125313283203
2018-04-26,1.0000000000000002,0.6668098818474775
2018-04-27,0.3405196875498169,0.8266380236305046
2018-04-30,0.37895106009883617,0.907554600787682
2018-05-02,0.3765471066475372,0.8489795918367342
2018-05-03,0.37747170412880604,0.8018617973505187
2018-05-04,0.3714968914395025,0.7334765485141421
2018-05-07,0.3934831818906426,0.8496240601503757
2018-05-08,0.40959668420213613,0.8427497314715353
2018-05-09,0.44698230511716885,0.8918009308986736
2018-05-10,0.4214952973059145,0.8282133906194051
2018-05-11,0.5110282161645145,0.9645542427497329
2018-05-14,0.4731133428981351,0.9568206229860383
2018-05-15,0.43654391838036033,0.9624060150375939
2018-05-16,0.40705244699505827,0.8802721088435383
2018-05-17,0.406497688506297,0.7871106337271758
2018-05-18,0.46042403953451294,0.6451127819548859
2018-05-21,0.3931452255699026,0.5616183315431442
2018-05-22,0.38220946915351495,0.5818116720372366
2018-05-23,0.39639088155587454,0.40100250626566414
2018-05-24,0.36923322174398243,0.5135696383816697
2018-05-25,0.394567192730751,0.6527747941281774
2018-05-28,0.43505818587597633,0.762262799856785
2018-05-29,0.5900589829427705,0.671607590404582
2018-05-30,0.6811477761836444,0.6557823129251705
2018-05-31,0.9490961262553801,0.8312209094163983
2018-06-01,0.0,0.7694951664876477
2018-06-04,0.0725011956001913,0.6474758324382393
2018-06-05,0.08395345129921905,0.6442534908700335
2018-06-06,0.10825442372070793,0.7728607232366631
2018-06-07,0.22202454965726126,0.8859291084855005
2018-06-08,0.2662330623306235,0.861439312567132
2018-06-11,0.34435198469631767,0.9154314357321862
2018-06-12,0.39237366491312,0.991693519513067
2018-06-13,0.4657165630479836,1.0
2018-06-14,0.4067463733460863,0.9556749015395631
2018-06-15,0.4744332855093256,0.9567490153956317
2018-06-18,0.4981986290451139,0.9208736126029358
2018-06-19,0.4980073330145067,0.8209810239885442
2018-06-20,0.49995855252670185,0.9223773720014314
2018-06-21,0.5229076996652322,0.8457572502685284
2018-06-22,0.4881555874382275,0.9843895452918012
2018-06-25,0.5884903554917902,0.8751163623344063
2018-06-26,0.6538370795472661,0.8883637665592552
2018-06-27,0.729252351347043,0.7545291800930904
2018-06-28,0.8333173919974495,0.6355889724310764
