,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,Unnamed: 15
0,FUTIDX,BANKNIFTY,26-May-2016,0.0,XX,16774.9,16946.25,16560.9,16888.35,16888.35,164495,827967.41,1776810,122040,29-APR-2016,
1,FUTIDX,BANKNIFTY,30-Jun-2016,0.0,XX,16762.85,16930.0,16564.0,16869.2,16869.2,3666,18468.34,59760,30900,29-APR-2016,
2,FUTIDX,BANKNIFTY,28-Jul-2016,0.0,XX,16732.1,16967.8,16650.0,16967.8,16967.8,24,161.09,720,720,29-APR-2016,
3,FUTIDX,DJIA,20-May-2016,0.0,XX,17775.0,17810.0,17762.5,17807.5,17807.5,495,2641.57,19050,600,29-APR-2016,
4,FUTIDX,DJIA,17-Jun-2016,0.0,XX,0.0,0.0,0.0,17920.0,18007.5,0,0.0,780,0,29-APR-2016,
5,FUTIDX,DJIA,15-Jul-2016,0.0,XX,0.0,0.0,0.0,18037.5,18110.0,0,0.0,0,0,29-APR-2016,
6,FUTIDX,DJIA,16-Sep-2016,0.0,XX,0.0,0.0,0.0,16702.5,18340.0,0,0.0,30,0,29-APR-2016,
7,FUTIDX,DJIA,16-Dec-2016,0.0,XX,0.0,0.0,0.0,18835.0,18677.5,0,0.0,0,0,29-APR-2016,
8,FUTIDX,DJIA,17-Mar-2017,0.0,XX,0.0,0.0,0.0,18965.0,19022.5,0,0.0,0,0,29-APR-2016,
9,FUTIDX,FTSE100,20-May-2016,0.0,XX,6201.0,6275.0,6201.0,6275.0,6349.0,2,9.35,225,0,29-APR-2016,
10,FUTIDX,FTSE100,17-Jun-2016,0.0,XX,0.0,0.0,0.0,7242.0,6385.0,0,0.0,0,0,29-APR-2016,
11,FUTIDX,FTSE100,15-Jul-2016,0.0,XX,0.0,0.0,0.0,6316.0,6421.0,0,0.0,0,0,29-APR-2016,
12,FUTIDX,FTSE100,16-Sep-2016,0.0,XX,0.0,0.0,0.0,6637.0,6503.0,0,0.0,0,0,29-APR-2016,
13,FUTIDX,FTSE100,16-Dec-2016,0.0,XX,0.0,0.0,0.0,6570.0,6623.0,0,0.0,0,0,29-APR-2016,
14,FUTIDX,FTSE100,17-Mar-2017,0.0,XX,0.0,0.0,0.0,6728.0,6745.0,0,0.0,0,0,29-APR-2016,
15,FUTIDX,NIFTY,26-May-2016,0.0,XX,7887.0,7950.0,7831.1,7894.8,7894.8,208110,1230525.25,20661825,525375,29-APR-2016,
16,FUTIDX,NIFTY,30-Jun-2016,0.0,XX,7894.95,7953.0,7845.0,7907.6,7907.6,6777,40123.66,991575,141450,29-APR-2016,
17,FUTIDX,NIFTY,28-Jul-2016,0.0,XX,7900.1,7963.15,7865.0,7926.25,7926.25,417,2474.45,10575,10575,29-APR-2016,
18,FUTIDX,NIFTYINFRA,26-May-2016,0.0,XX,0.0,0.0,0.0,2330.45,2652.3,0,0.0,0,0,29-APR-2016,
19,FUTIDX,NIFTYINFRA,30-Jun-2016,0.0,XX,0.0,0.0,0.0,2600.2,2671.4,0,0.0,0,0,29-APR-2016,
20,FUTIDX,NIFTYINFRA,28-Jul-2016,0.0,XX,0.0,0.0,0.0,2693.1,2686.4,0,0.0,0,0,29-APR-2016,
21,FUTIDX,NIFTYIT,26-May-2016,0.0,XX,11291.0,11345.0,11200.0,11249.0,11249.0,146,738.95,12960,1575,29-APR-2016,
22,FUTIDX,NIFTYIT,30-Jun-2016,0.0,XX,0.0,0.0,0.0,11430.0,11337.0,0,0.0,45,0,29-APR-2016,
23,FUTIDX,NIFTYIT,28-Jul-2016,0.0,XX,0.0,0.0,0.0,11495.0,11401.0,0,0.0,0,0,29-APR-2016,
24,FUTIDX,NIFTYMID50,26-May-2016,0.0,XX,0.0,0.0,0.0,2763.8,3335.65,0,0.0,0,0,29-APR-2016,
25,FUTIDX,NIFTYMID50,30-Jun-2016,0.0,XX,0.0,0.0,0.0,3266.0,3359.65,0,0.0,0,0,29-APR-2016,
26,FUTIDX,NIFTYMID50,28-Jul-2016,0.0,XX,0.0,0.0,0.0,3380.7,3378.55,0,0.0,0,0,29-APR-2016,
27,FUTIDX,NIFTYPSE,26-May-2016,0.0,XX,0.0,0.0,0.0,2686.4,2978.35,0,0.0,0,0,29-APR-2016,
28,FUTIDX,NIFTYPSE,30-Jun-2016,0.0,XX,0.0,0.0,0.0,2904.75,2999.8,0,0.0,0,0,29-APR-2016,
29,FUTIDX,NIFTYPSE,28-Jul-2016,0.0,XX,0.0,0.0,0.0,2994.1,3016.7,0,0.0,0,0,29-APR-2016,
30,FUTIDX,S&P500,20-May-2016,0.0,XX,2073.75,2075.25,2070.25,2075.25,2075.25,252,1306.27,387000,-37000,29-APR-2016,
31,FUTIDX,S&P500,17-Jun-2016,0.0,XX,0.0,0.0,0.0,2299.0,2096.5,0,0.0,0,0,29-APR-2016,
32,FUTIDX,S&P500,15-Jul-2016,0.0,XX,0.0,0.0,0.0,2098.25,2108.25,0,0.0,0,0,29-APR-2016,
33,FUTIDX,S&P500,16-Sep-2016,0.0,XX,0.0,0.0,0.0,2150.5,2135.0,0,0.0,0,0,29-APR-2016,
34,FUTIDX,S&P500,16-Dec-2016,0.0,XX,0.0,0.0,0.0,2198.25,2174.25,0,0.0,0,0,29-APR-2016,
35,FUTIDX,S&P500,17-Mar-2017,0.0,XX,0.0,0.0,0.0,2213.75,2214.5,0,0.0,0,0,29-APR-2016,
36,FUTIVX,INDIAVIX,03-May-2016,0.0,XX,0.0,0.0,0.0,1642.0,1657.5,0,0.0,0,0,29-APR-2016,
37,FUTIVX,INDIAVIX,10-May-2016,0.0,XX,0.0,0.0,0.0,1718.25,1673.75,0,0.0,0,0,29-APR-2016,
38,FUTIVX,INDIAVIX,17-May-2016,0.0,XX,0.0,0.0,0.0,1687.25,1678.75,0,0.0,0,0,29-APR-2016,
39,FUTSTK,ABIRLANUVO,26-May-2016,0.0,XX,862.2,870.0,846.95,859.5,859.5,1162,2494.04,1274500,-14500,29-APR-2016,
40,FUTSTK,ABIRLANUVO,30-Jun-2016,0.0,XX,871.0,871.0,856.9,860.9,866.25,8,17.27,2000,1500,29-APR-2016,
41,FUTSTK,ABIRLANUVO,28-Jul-2016,0.0,XX,0.0,0.0,0.0,870.65,871.15,0,0.0,0,0,29-APR-2016,
42,FUTSTK,ACC,26-May-2016,0.0,XX,1459.65,1466.0,1433.35,1451.55,1451.55,2332,12700.81,937125,17250,29-APR-2016,
43,FUTSTK,ACC,30-Jun-2016,0.0,XX,1469.3,1472.1,1442.25,1453.55,1453.55,49,268.22,15000,9750,29-APR-2016,
44,FUTSTK,ACC,28-Jul-2016,0.0,XX,0.0,0.0,0.0,1464.3,1469.45,0,0.0,0,0,29-APR-2016,
45,FUTSTK,ADANIENT,26-May-2016,0.0,XX,84.05,89.15,83.55,87.25,87.25,956,4970.85,12060000,306000,29-APR-2016,
46,FUTSTK,ADANIENT,30-Jun-2016,0.0,XX,0.0,0.0,0.0,75.35,87.8,0,0.0,0,0,29-APR-2016,
47,FUTSTK,ADANIENT,28-Jul-2016,0.0,XX,0.0,0.0,0.0,85.4,88.3,0,0.0,0,0,29-APR-2016,
48,FUTSTK,ADANIPORTS,26-May-2016,0.0,XX,237.85,241.65,234.0,239.95,239.95,2415,9192.57,29129600,171200,29-APR-2016,
49,FUTSTK,ADANIPORTS,30-Jun-2016,0.0,XX,238.4,240.95,237.4,237.5,241.2,10,38.28,81600,11200,29-APR-2016,
50,FUTSTK,ADANIPORTS,28-Jul-2016,0.0,XX,0.0,0.0,0.0,239.8,242.55,0,0.0,0,0,29-APR-2016,
51,FUTSTK,ADANIPOWER,26-May-2016,0.0,XX,32.1,32.7,31.45,32.25,32.25,578,3717.03,71680000,-960000,29-APR-2016,
52,FUTSTK,ADANIPOWER,30-Jun-2016,0.0,XX,31.95,31.95,31.95,31.95,32.45,1,6.39,300000,0,29-APR-2016,
53,FUTSTK,ADANIPOWER,28-Jul-2016,0.0,XX,0.0,0.0,0.0,32.8,32.65,0,0.0,0,0,29-APR-2016,
54,FUTSTK,AJANTPHARM,26-May-2016,0.0,XX,1540.05,1568.0,1470.0,1510.85,1510.85,3496,21261.3,356800,20000,29-APR-2016,
55,FUTSTK,AJANTPHARM,30-Jun-2016,0.0,XX,1554.25,1554.25,1554.25,1554.25,1533.45,1,6.21,400,400,29-APR-2016,
56,FUTSTK,AJANTPHARM,28-Jul-2016,0.0,XX,0.0,0.0,0.0,1567.4,1542.1,0,0.0,0,0,29-APR-2016,
57,FUTSTK,ALBK,26-May-2016,0.0,XX,59.1,59.5,55.55,58.6,58.6,1093,3815.63,7848000,516000,29-APR-2016,
58,FUTSTK,ALBK,30-Jun-2016,0.0,XX,59.0,59.1,56.0,58.2,58.2,42,146.54,384000,72000,29-APR-2016,
59,FUTSTK,ALBK,28-Jul-2016,0.0,XX,56.25,56.25,56.0,56.0,59.35,2,11.22,10000,10000,29-APR-2016,
60,FUTSTK,AMARAJABAT,26-May-2016,0.0,XX,942.4,964.9,935.55,961.35,961.35,885,5053.93,704400,10800,29-APR-2016,
61,FUTSTK,AMARAJABAT,30-Jun-2016,0.0,XX,960.0,960.0,960.0,960.0,960.0,1,5.76,2400,0,29-APR-2016,
62,FUTSTK,AMARAJABAT,28-Jul-2016,0.0,XX,0.0,0.0,0.0,955.4,973.3,0,0.0,0,0,29-APR-2016,
63,FUTSTK,AMBUJACEM,26-May-2016,0.0,XX,223.25,225.25,220.8,222.65,222.65,2374,11124.4,9084600,533400,29-APR-2016,
64,FUTSTK,AMBUJACEM,30-Jun-2016,0.0,XX,225.6,226.85,221.8,222.4,223.8,31,145.98,46200,23100,29-APR-2016,
65,FUTSTK,AMBUJACEM,28-Jul-2016,0.0,XX,0.0,0.0,0.0,223.9,225.05,0,0.0,0,0,29-APR-2016,
66,FUTSTK,ANDHRABANK,26-May-2016,0.0,XX,56.2,56.7,54.1,55.65,55.65,585,2602.81,9096000,-56000,29-APR-2016,
67,FUTSTK,ANDHRABANK,30-Jun-2016,0.0,XX,56.65,56.65,54.9,54.9,55.95,13,58.09,192000,16000,29-APR-2016,
68,FUTSTK,ANDHRABANK,28-Jul-2016,0.0,XX,0.0,0.0,0.0,56.95,56.3,0,0.0,0,0,29-APR-2016,
69,FUTSTK,APOLLOHOSP,26-May-2016,0.0,XX,1326.2,1334.5,1305.25,1321.35,1321.35,721,3804.76,950400,-9600,29-APR-2016,
70,FUTSTK,APOLLOHOSP,30-Jun-2016,0.0,XX,1334.0,1341.55,1334.0,1341.55,1328.6,3,16.05,1200,1200,29-APR-2016,
71,FUTSTK,APOLLOHOSP,28-Jul-2016,0.0,XX,0.0,0.0,0.0,1337.3,1336.05,0,0.0,0,0,29-APR-2016,
72,FUTSTK,APOLLOTYRE,26-May-2016,0.0,XX,165.45,165.65,158.6,160.8,160.8,2131,10315.19,10470000,804000,29-APR-2016,
73,FUTSTK,APOLLOTYRE,30-Jun-2016,0.0,XX,164.05,164.05,160.0,161.0,161.0,15,72.87,54000,9000,29-APR-2016,
74,FUTSTK,APOLLOTYRE,28-Jul-2016,0.0,XX,0.0,0.0,0.0,167.5,163.1,0,0.0,0,0,29-APR-2016,
75,FUTSTK,ARVIND,26-May-2016,0.0,XX,285.6,289.3,272.0,279.4,279.4,3452,16418.66,3906600,508300,29-APR-2016,
76,FUTSTK,ARVIND,30-Jun-2016,0.0,XX,289.85,289.85,274.0,279.65,279.65,11,52.42,34000,10200,29-APR-2016,
77,FUTSTK,ARVIND,28-Jul-2016,0.0,XX,0.0,0.0,0.0,289.2,282.4,0,0.0,0,0,29-APR-2016,
78,FUTSTK,ASHOKLEY,26-May-2016,0.0,XX,106.65,107.75,105.1,107.4,107.4,4776,35634.92,73633000,-392000,29-APR-2016,
79,FUTSTK,ASHOKLEY,30-Jun-2016,0.0,XX,107.0,107.9,105.25,107.55,107.55,70,522.72,840000,154000,29-APR-2016,
80,FUTSTK,ASHOKLEY,28-Jul-2016,0.0,XX,0.0,0.0,0.0,107.35,108.75,0,0.0,0,0,29-APR-2016,
81,FUTSTK,ASIANPAINT,26-May-2016,0.0,XX,880.65,882.0,867.4,872.75,872.75,1808,9478.15,3087000,166800,29-APR-2016,
82,FUTSTK,ASIANPAINT,30-Jun-2016,0.0,XX,878.0,878.0,864.7,864.7,864.7,8,41.91,13800,4800,29-APR-2016,
83,FUTSTK,ASIANPAINT,28-Jul-2016,0.0,XX,0.0,0.0,0.0,889.15,882.05,0,0.0,0,0,29-APR-2016,
84,FUTSTK,AUROPHARMA,26-May-2016,0.0,XX,774.65,779.45,761.2,765.55,765.55,4689,25245.44,13647200,636300,29-APR-2016,
85,FUTSTK,AUROPHARMA,30-Jun-2016,0.0,XX,776.0,778.8,767.0,770.0,770.0,10,54.04,28000,5600,29-APR-2016,
86,FUTSTK,AUROPHARMA,28-Jul-2016,0.0,XX,0.0,0.0,0.0,778.4,773.8,0,0.0,0,0,29-APR-2016,
87,FUTSTK,AXISBANK,26-May-2016,0.0,XX,467.85,479.45,466.0,475.55,475.55,20405,96707.07,27560000,-471000,29-APR-2016,
88,FUTSTK,AXISBANK,30-Jun-2016,0.0,XX,470.25,480.8,469.0,477.8,477.8,330,1571.1,502000,77000,29-APR-2016,
89,FUTSTK,AXISBANK,28-Jul-2016,0.0,XX,0.0,0.0,0.0,476.65,481.0,0,0.0,0,0,29-APR-2016,
90,FUTSTK,BAJAJ-AUTO,26-May-2016,0.0,XX,2503.9,2517.8,2481.2,2508.4,2508.4,1747,8727.75,1471600,30600,29-APR-2016,
91,FUTSTK,BAJAJ-AUTO,30-Jun-2016,0.0,XX,2502.7,2530.1,2483.0,2522.6,2522.6,83,416.29,16800,12000,29-APR-2016,
92,FUTSTK,BAJAJ-AUTO,28-Jul-2016,0.0,XX,0.0,0.0,0.0,2533.2,2537.35,0,0.0,0,0,29-APR-2016,
93,FUTSTK,BAJFINANCE,26-May-2016,0.0,XX,7022.75,7023.55,6820.15,6881.3,6881.3,904,7800.7,235375,14125,29-APR-2016,
94,FUTSTK,BAJFINANCE,30-Jun-2016,0.0,XX,6901.45,6901.45,6901.4,6901.4,6914.55,2,17.25,250,250,29-APR-2016,
95,FUTSTK,BAJFINANCE,28-Jul-2016,0.0,XX,0.0,0.0,0.0,7095.1,6953.5,0,0.0,0,0,29-APR-2016,
96,FUTSTK,BANKBARODA,26-May-2016,0.0,XX,160.75,162.95,153.0,158.85,158.85,8784,43265.47,35888700,1726700,29-APR-2016,
97,FUTSTK,BANKBARODA,30-Jun-2016,0.0,XX,160.95,161.9,152.9,158.2,158.2,97,475.18,489800,77500,29-APR-2016,
98,FUTSTK,BANKBARODA,28-Jul-2016,0.0,XX,161.0,161.0,155.15,155.55,160.8,4,21.95,14000,14000,29-APR-2016,
99,FUTSTK,BANKINDIA,26-May-2016,0.0,XX,96.5,96.65,91.15,92.5,92.5,4090,11457.7,18219000,1002000,29-APR-2016,
100,FUTSTK,BANKINDIA,30-Jun-2016,0.0,XX,96.4,96.4,90.85,92.3,92.3,207,580.54,960000,369000,29-APR-2016,
101,FUTSTK,BANKINDIA,28-Jul-2016,0.0,XX,91.15,91.3,89.05,91.3,94.2,17,91.5,72000,72000,29-APR-2016,
102,FUTSTK,BATAINDIA,26-May-2016,0.0,XX,556.15,592.9,549.95,581.65,581.65,1585,9036.28,1716000,186000,29-APR-2016,
103,FUTSTK,BATAINDIA,30-Jun-2016,0.0,XX,0.0,0.0,0.0,519.0,591.55,0,0.0,0,0,29-APR-2016,
104,FUTSTK,BATAINDIA,28-Jul-2016,0.0,XX,0.0,0.0,0.0,566.5,594.85,0,0.0,0,0,29-APR-2016,
105,FUTSTK,BEL,26-May-2016,0.0,XX,1193.6,1207.9,1178.7,1188.8,1188.8,678,3640.91,1462050,-2250,29-APR-2016,
106,FUTSTK,BEL,30-Jun-2016,0.0,XX,0.0,0.0,0.0,1204.0,1196.65,0,0.0,2250,0,29-APR-2016,
107,FUTSTK,BEL,28-Jul-2016,0.0,XX,0.0,0.0,0.0,1205.45,1203.4,0,0.0,0,0,29-APR-2016,
108,FUTSTK,BEML,26-May-2016,0.0,XX,924.3,939.8,915.0,926.7,926.7,774,3595.88,1370500,-8500,29-APR-2016,
109,FUTSTK,BEML,30-Jun-2016,0.0,XX,0.0,0.0,0.0,1065.45,932.5,0,0.0,0,0,29-APR-2016,
110,FUTSTK,BEML,28-Jul-2016,0.0,XX,0.0,0.0,0.0,935.85,937.75,0,0.0,0,0,29-APR-2016,
111,FUTSTK,BHARATFORG,26-May-2016,0.0,XX,792.55,804.9,789.15,801.5,801.5,2421,9646.17,5602000,-9000,29-APR-2016,
112,FUTSTK,BHARATFORG,30-Jun-2016,0.0,XX,799.35,805.0,786.85,803.85,803.85,35,139.51,22000,15000,29-APR-2016,
113,FUTSTK,BHARATFORG,28-Jul-2016,0.0,XX,0.0,0.0,0.0,807.6,812.65,0,0.0,0,0,29-APR-2016,
114,FUTSTK,BHARTIARTL,26-May-2016,0.0,XX,371.7,372.05,362.25,365.25,365.25,5248,23092.42,22029600,330000,29-APR-2016,
115,FUTSTK,BHARTIARTL,30-Jun-2016,0.0,XX,372.3,372.3,363.75,366.0,366.0,325,1436.3,348000,266400,29-APR-2016,
116,FUTSTK,BHARTIARTL,28-Jul-2016,0.0,XX,367.1,368.1,365.95,366.95,370.25,34,187.41,51000,51000,29-APR-2016,
117,FUTSTK,BHEL,26-May-2016,0.0,XX,125.75,127.4,123.65,126.1,126.1,4170,10476.15,20224000,190000,29-APR-2016,
118,FUTSTK,BHEL,30-Jun-2016,0.0,XX,126.5,127.6,123.7,126.4,126.4,43,108.31,594000,20000,29-APR-2016,
119,FUTSTK,BHEL,28-Jul-2016,0.0,XX,126.0,127.0,126.0,127.0,127.0,2,12.65,10000,10000,29-APR-2016,
120,FUTSTK,BIOCON,26-May-2016,0.0,XX,576.25,592.75,574.9,590.0,590.0,3602,23280.66,2819300,371800,29-APR-2016,
121,FUTSTK,BIOCON,30-Jun-2016,0.0,XX,581.2,592.5,581.2,588.8,592.75,15,97.25,24200,12100,29-APR-2016,
