,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,Unnamed: 15
0,FUTIDX,BANKNIFTY,26-May-2016,0.0,XX,16720.45,16756.25,16590.6,16620.8,16620.8,105902,529644.15,1780710,3900,02-MAY-2016,
1,FUTIDX,BANKNIFTY,30-Jun-2016,0.0,XX,16728.05,16749.95,16565.1,16593.15,16593.15,2110,10542.27,73740,13980,02-MAY-2016,
2,FUTIDX,BANKNIFTY,28-Jul-2016,0.0,XX,16711.05,16752.15,16611.35,16623.8,16623.8,29,193.65,1160,440,02-MAY-2016,
3,FUTIDX,DJIA,20-May-2016,0.0,XX,17710.0,17750.0,17702.5,17745.0,17745.0,465,2472.89,17040,-2010,02-MAY-2016,
4,FUTIDX,DJIA,17-Jun-2016,0.0,XX,0.0,0.0,0.0,17920.0,17940.0,0,0.0,780,0,02-MAY-2016,
5,FUTIDX,DJIA,15-Jul-2016,0.0,XX,0.0,0.0,0.0,18037.5,18040.0,0,0.0,0,0,02-MAY-2016,
6,FUTIDX,DJIA,16-Sep-2016,0.0,XX,0.0,0.0,0.0,16702.5,18270.0,0,0.0,30,0,02-MAY-2016,
7,FUTIDX,DJIA,16-Dec-2016,0.0,XX,0.0,0.0,0.0,18835.0,18607.5,0,0.0,0,0,02-MAY-2016,
8,FUTIDX,DJIA,17-Mar-2017,0.0,XX,0.0,0.0,0.0,18965.0,18950.0,0,0.0,0,0,02-MAY-2016,
9,FUTIDX,FTSE100,20-May-2016,0.0,XX,0.0,0.0,0.0,6275.0,6264.0,0,0.0,225,0,02-MAY-2016,
10,FUTIDX,FTSE100,17-Jun-2016,0.0,XX,0.0,0.0,0.0,7242.0,6300.0,0,0.0,0,0,02-MAY-2016,
11,FUTIDX,FTSE100,15-Jul-2016,0.0,XX,0.0,0.0,0.0,6316.0,6336.0,0,0.0,0,0,02-MAY-2016,
12,FUTIDX,FTSE100,16-Sep-2016,0.0,XX,0.0,0.0,0.0,6637.0,6416.0,0,0.0,0,0,02-MAY-2016,
13,FUTIDX,FTSE100,16-Dec-2016,0.0,XX,0.0,0.0,0.0,6570.0,6535.0,0,0.0,0,0,02-MAY-2016,
14,FUTIDX,FTSE100,17-Mar-2017,0.0,XX,0.0,0.0,0.0,6728.0,6655.0,0,0.0,0,0,02-MAY-2016,
