Date,Open,High,Low,Close,Volume,Turnover
2015-11-09,12747.95,13111.9,12712.15,13073.8,217157317.0,31432100000.0
2015-11-10,13058.05,13091.35,12840.3,12851.25,245104303.0,33546500000.0
2015-11-11,12959.7,12996.85,12959.7,12991.45,38423317.0,4303800000.0
2015-11-13,12922.65,12931.05,12818.55,12885.95,195940544.0,34530100000.0
2015-11-16,12862.95,12917.3,12809.5,12883.85,190432089.0,29486300000.0
2015-11-17,12952.6,12985.0,12905.05,12959.55,177673798.0,31260500000.0
2015-11-18,12973.2,13013.35,12855.0,12877.3,167395604.0,28539500000.0
2015-11-19,12954.35,13010.95,12915.55,13003.75,166463706.0,25378500000.0
2015-11-20,13032.4,13142.95,13032.4,13089.9,241623290.0,38454800000.0
2015-11-23,13134.35,13167.3,13106.4,13116.1,157894310.0,28413300000.0
2015-11-24,13120.45,13174.85,13111.15,13128.6,198488354.0,33173600000.0
2015-11-26,13165.85,13206.2,13153.5,13180.9,284942360.0,48524500000.0
2015-11-27,13227.75,13271.15,13171.2,13228.25,215828212.0,33158900000.0
2015-11-30,13243.7,13294.1,13242.95,13248.7,390567471.0,66554200000.0
2015-12-01,13294.4,13366.5,13294.4,13357.5,259847985.0,36089500000.0
2015-12-02,13397.95,13400.55,13308.5,13359.7,185401385.0,31847900000.0
2015-12-03,13336.65,13364.25,13273.05,13287.4,237471342.0,38294700000.0
2015-12-04,13215.85,13276.8,13174.45,13190.9,265268603.0,34997600000.0
2015-12-07,13253.9,13273.65,13179.7,13183.05,168163663.0,27047100000.0
2015-12-08,13151.6,13213.55,13009.65,13022.65,197256892.0,27274600000.0
2015-12-09,13009.95,13021.65,12763.2,12792.85,225560664.0,34259000000.0
2015-12-10,12848.3,12912.35,12726.65,12904.8,209613529.0,36623800000.0
2015-12-11,12942.6,12980.95,12766.65,12807.6,205253371.0,34789600000.0
2015-12-14,12781.55,12909.25,12748.65,12867.65,171741727.0,28161900000.0
2015-12-15,12893.95,12945.1,12875.55,12940.65,147212629.0,25475100000.000004
2015-12-16,13009.9,13082.5,12986.6,12994.25,206582919.0,32408200000.0
2015-12-17,13072.1,13228.8,13065.7,13220.85,239632067.0,38792200000.0
2015-12-18,13214.9,13276.7,13168.1,13177.9,225027070.0,37476800000.0
2015-12-21,13205.75,13289.3,13183.65,13279.7,173209888.0,25970000000.0
2015-12-22,13300.35,13334.6,13218.15,13228.15,188696084.0,26985500000.0
2015-12-23,13285.35,13317.55,13266.2,13282.55,153288809.0,24541400000.0
2015-12-24,13325.4,13349.55,13292.25,13337.35,162052865.0,30506600000.0
2015-12-28,13368.5,13381.85,13330.4,13345.25,137363799.0,22640400000.0
2015-12-29,13390.5,13404.9,13340.0,13373.5,153717285.0,28057600000.000004
2015-12-30,13411.7,13422.65,13355.85,13365.6,165867075.0,27551800000.0
2015-12-31,13396.75,13411.6,13346.45,13396.7,302545275.0,56160800000.0
2016-01-01,13413.7,13543.45,13412.35,13540.45,211629226.0,33965900000.0
2016-01-04,13536.8,13631.45,13367.95,13429.4,305055672.0,44717200000.0
2016-01-05,13488.2,13553.75,13415.0,13546.2,285331765.0,47670600000.00001
2016-01-06,13555.55,13638.25,13468.0,13513.2,248759598.0,48582800000.0
2016-01-07,13378.0,13378.0,13102.1,13130.3,273201515.0,43893000000.0
2016-01-08,13211.8,13324.0,13196.9,13288.7,231458837.0,37436100000.0
2016-01-11,13192.5,13268.45,13062.3,13183.5,239699510.0,35687200000.0
2016-01-12,13226.2,13272.55,13072.35,13087.7,228698112.0,34483500000.0
2016-01-13,13176.0,13218.75,12711.95,12993.9,343328269.0,49958700000.0
2016-01-14,12818.35,12968.4,12718.45,12838.25,264735209.0,36842600000.0
