Date,Open,High,Low,Close,Volume,Turnover,Symbol
2011-01-03,6177.45,6178.55,6147.2,6157.6,96028639,44773600000.0,NIFTY
2011-01-04,6172.75,6181.05,6124.4,6146.35,181727905,76785500000.0,NIFTY
2011-01-05,6141.35,6141.35,6062.35,6079.8,139614193,66062100000.0,NIFTY
2011-01-06,6107.0,6116.15,6022.3,6048.25,152338978,70501800000.0,NIFTY
2011-01-07,6030.9,6051.2,5883.6,5904.6,171809106,83257900000.00002,NIFTY
2011-01-10,5901.3,5907.25,5740.95,5762.85,156945855,79203800000.0,NIFTY
2011-01-11,5767.95,5842.6,5698.2,5754.1,161261704,83072200000.0,NIFTY
2011-01-12,5800.05,5874.2,5711.3,5863.25,188116995,87096800000.0,NIFTY
2011-01-13,5850.75,5857.75,5736.7,5751.9,175347539,81501100000.0,NIFTY
2011-01-14,5752.1,5833.65,5639.65,5654.55,174568442,73721000000.0,NIFTY
2011-01-17,5648.8,5696.15,5624.15,5654.75,148497108,64172700000.00001,NIFTY
2011-01-18,5682.55,5730.5,5671.25,5724.05,141008889,61603800000.0,NIFTY
2011-01-19,5737.35,5747.65,5662.55,5691.05,146719934,66947900000.0,NIFTY
2011-01-20,5656.0,5729.45,5634.5,5711.6,130496983,69477000000.0,NIFTY
2011-01-21,5692.05,5717.55,5674.5,5696.5,119990780,60836100000.0,NIFTY
2011-01-24,5717.1,5756.0,5697.75,5743.25,108832157,66419600000.0,NIFTY
2011-01-25,5763.3,5801.55,5680.65,5687.4,126128667,73021400000.0,NIFTY
2011-01-27,5725.3,5726.1,5594.95,5604.3,201496674,91827900000.00002,NIFTY
2011-01-28,5614.0,5614.4,5459.55,5512.15,173107003,81223500000.0,NIFTY
2011-01-31,5452.55,5526.85,5416.65,5505.9,177847681,78739600000.0,NIFTY
2011-02-01,5537.3,5539.15,5402.0,5417.2,171232063,77974300000.0,NIFTY
2011-02-02,5469.55,5490.6,5415.65,5432.0,172198228,78600600000.0,NIFTY
2011-02-03,5430.45,5532.65,5418.0,5526.75,154228754,62540000000.0,NIFTY
2011-02-04,5519.9,5556.3,5369.05,5395.75,187819542,76854900000.0,NIFTY
2011-02-07,5430.15,5440.35,5376.95,5396.0,150447066,59053800000.0,NIFTY
2011-02-08,5432.35,5432.35,5303.4,5312.55,155600262,64790500000.0,NIFTY
2011-02-09,5293.05,5339.45,5225.65,5253.55,246525934,92947700000.0,NIFTY
2011-02-10,5246.05,5272.6,5196.8,5225.8,225237990,83094700000.0,NIFTY
2011-02-11,5219.65,5319.45,5177.7,5310.0,211250584,77176900000.0,NIFTY
2011-02-14,5340.25,5463.8,5340.25,5456.0,175710338,70737700000.0,NIFTY
2011-02-15,5467.75,5506.5,5408.35,5481.0,170459703,70710000000.0,NIFTY
2011-02-16,5467.6,5504.8,5460.35,5481.7,140517190,52587600000.0,NIFTY
2011-02-17,5501.7,5553.0,5463.4,5546.45,143669623,56017299999.99999,NIFTY
2011-02-18,5557.55,5599.25,5441.95,5458.95,180906498,76847400000.0,NIFTY
2011-02-21,5456.6,5526.25,5413.1,5518.6,137634026,61093800000.0,NIFTY
2011-02-22,5504.4,5519.45,5437.3,5469.2,166271411,73831200000.0,NIFTY
2011-02-23,5452.45,5495.2,5427.55,5437.35,173584660,72038000000.0,NIFTY
2011-02-24,5408.75,5423.4,5242.5,5262.7,259347677,110111600000.0,NIFTY
2011-02-25,5321.05,5338.2,5232.75,5303.55,193536325,76792300000.0,NIFTY
2011-02-28,5330.15,5477.0,5308.6,5333.25,317245759,102761800000.0,NIFTY
2011-03-01,5382.0,5533.05,5373.55,5522.3,210498269,74110900000.0,NIFTY
2011-03-03,5478.45,5570.75,5468.25,5536.2,218804792,88489700000.0,NIFTY
2011-03-04,5586.2,5608.2,5524.1,5538.75,162006860,65220100000.0,NIFTY
2011-03-07,5490.05,5491.25,5408.45,5463.15,134581629,51458700000.0,NIFTY
2011-03-08,5466.1,5530.55,5464.75,5520.8,127506672,51765900000.0,NIFTY
2011-03-09,5542.4,5563.3,5477.45,5531.0,149822867,55954500000.0,NIFTY
2011-03-10,5516.1,5516.3,5468.45,5494.4,135730117,48544100000.0,NIFTY
2011-03-11,5456.15,5502.7,5411.55,5445.45,133441964,55865900000.0,NIFTY
2011-03-14,5436.5,5537.3,5434.25,5531.5,173521756,53102400000.0,NIFTY
2011-03-15,5420.0,5497.85,5373.65,5449.65,191037598,77457800000.0,NIFTY
2011-03-16,5475.95,5535.1,5475.95,5511.15,135196748,57248400000.0,NIFTY
2011-03-17,5455.4,5510.05,5435.3,5446.65,135255698,59626899999.99999,NIFTY
2011-03-18,5475.35,5483.05,5366.4,5373.7,129492420,57292700000.00001,NIFTY
2011-03-21,5408.75,5413.3,5348.2,5364.75,107174731,42220900000.0,NIFTY
2011-03-22,5390.85,5428.15,5376.15,5413.85,94938100,39788000000.0,NIFTY
2011-03-23,5411.4,5484.95,5401.95,5480.25,112036402,48527500000.0,NIFTY
2011-03-24,5501.8,5529.0,5496.1,5522.4,115262055,47665600000.00001,NIFTY
2011-03-25,5588.65,5667.1,5560.95,5654.25,133451382,64574700000.0,NIFTY
