,SYMBOL,NAME,INDFLAG,FO_FLAG
95,APOLLOHOSP,Apollo Hospitals Enterprise Limited,0,0
96,APOLLOTYRE,Apollo Tyres Limited,0,0
97,APOLSINHOT,Apollo Sindoori Hotels Limited,0,0
98,APTECHT,Aptech Limited,0,0
99,ARCHIDPLY,Archidply Industries Limited,0,0
100,ARCHIES,Archies Limited,0,0
101,ARCOTECH,Arcotech Limited,0,0
102,ARENTERP,Rajdarshan Industries Limited,0,0
103,ARIES,Aries Agro Limited,0,0
104,ARIHANT,Arihant Foundations & Housing Limited,0,0
105,ARIHANTSUP,Arihant Superstructures Limited,0,0
106,ARMANFIN,Arman Financial Services Limited,0,0
107,AROGRANITE,Aro Granite Industries Limited,0,0
108,ARROWGREEN,Arrow Greentech Limited,0,0
109,ARROWTEX,Arrow Textiles Limited,0,0
110,ARSHIYA,Arshiya Limited,0,0
111,ARSSINFRA,ARSS Infrastructure Projects Limited,0,0
112,ARVIND,Arvind Limited,0,0
113,ARVSMART,Arvind SmartSpaces Limited,0,0
114,ASAHIINDIA,Asahi India Glass Limited,0,0
115,ASAHISONG,Asahi Songwon Colors Limited,0,0
116,ASAL,Automotive Stampings and Assemblies Limited,0,0
117,ASHAPURMIN,Ashapura Minechem Limited,0,0
118,ASHIANA,Ashiana Housing Limited,0,0
119,ASHIMASYN,Ashima Limited,0,0
120,ASHOKA,Ashoka Buildcon Limited,0,0
121,ASHOKLEY,Ashok Leyland Limited,0,0
122,ASIANHOTNR,Asian Hotels (North) Limited,0,0
123,ASIANPAINT,Asian Paints Limited,0,0
124,ASIANTILES,Asian Granito India Limited,0,0
125,ASPINWALL,Aspinwall and Company Limited,0,0
126,ASSAMCO,Assam Company India Limited,0,0
127,ASTEC,Astec LifeSciences Limited,0,0
128,ASTERDM,Aster DM Healthcare Limited,0,0
129,ASTRAL,Astral Poly Technik Limited,0,0
130,ASTRAMICRO,Astra Microwave Products Limited,0,0
131,ASTRAZEN,AstraZeneca Pharma India Limited,0,0
132,ASTRON,Astron Paper & Board Mill Limited,0,0
133,ATFL,Agro Tech Foods Limited,0,0
134,ATLANTA,Atlanta  Limited,0,0
135,ATLASCYCLE,Atlas Cycles (Haryana) Limited,0,0
136,ATUL,Atul Limited,0,0
137,ATULAUTO,Atul Auto Limited,0,0
138,AUBANK,AU Small Finance Bank Limited,0,0
139,AURIONPRO,Aurionpro Solutions Limited,0,0
140,AUROPHARMA,Aurobindo Pharma Limited,0,0
141,AUSOMENT,Ausom Enterprise Limited,0,0
142,AUTOAXLES,Automotive Axles Limited,0,0
143,AUTOIND,Autoline Industries Limited,0,0
144,AUTOLITIND,Autolite (India) Limited,0,0
145,AVADHSUGAR,Avadh Sugar & Energy Limited,0,0
146,AVANTIFEED,Avanti Feeds Limited,0,0
147,AVTNPL,AVT Natural Products Limited,0,0
148,AXISBANK,Axis Bank Limited,0,0
149,AXISCADES,AXISCADES Engineering Technologies Limited,0,0
150,AYMSYNTEX,AYM Syntex Limited,0,0
151,BAFNAPHARM,Bafna Pharmaceuticals Limited,0,0
152,BAGFILMS,B.A.G Films and Media Limited,0,0
153,BAJAJ-AUTO,Bajaj Auto Limited,0,0
154,BAJAJCORP,Bajaj Corp Limited,0,0
155,BAJAJELEC,Bajaj Electricals Limited,0,0
156,BAJAJFINSV,Bajaj Finserv Limited,0,0
157,BAJAJHIND,Bajaj Hindusthan Sugar Limited,0,0
158,BAJAJHLDNG,Bajaj Holdings & Investment Limited,0,0
159,BAJFINANCE,Bajaj Finance Limited,0,0
