Strike_Price,C_LTP,P_LTP
9100.00,2598.00,0.05
9150.00,-,-
9200.00,2498.00,0.25
9250.00,-,-
9300.00,2435.00,0.20
9350.00,-,-
9400.00,2296.00,0.45
9450.00,-,-
9500.00,2191.60,0.25
9550.00,-,-
9600.00,2130.00,0.35
9650.00,1700.00,0.70
9700.00,2028.00,0.40
9750.00,-,-
9800.00,1920.00,0.45
9850.00,-,-
9900.00,1800.00,0.60
9950.00,-,-
10000.00,1701.15,0.50
10050.00,-,0.90
10100.00,1626.95,0.50
10150.00,-,3.25
10200.00,1495.00,0.55
10250.00,-,-
10300.00,1390.00,0.65
10350.00,1386.85,1.05
10400.00,1297.10,0.45
10450.00,997.90,0.85
10500.00,1202.10,0.45
10550.00,1160.15,0.45
10600.00,1097.00,0.50
10650.00,1085.00,1.40
10700.00,998.10,0.60
10750.00,947.00,1.25
10800.00,899.60,0.60
10850.00,841.65,0.65
10900.00,795.35,0.55
10950.00,750.00,0.65
11000.00,696.75,0.70
11050.00,650.00,0.90
11100.00,593.70,0.70
11150.00,540.00,1.00
11200.00,498.00,0.70
11250.00,439.85,0.60
11300.00,401.65,0.70
11350.00,342.15,0.95
11400.00,302.00,0.85
11450.00,248.60,1.50
11500.00,200.85,1.65
11550.00,153.00,2.10
11600.00,105.00,4.40
11650.00,59.00,9.70
11700.00,26.15,25.00
11750.00,9.00,52.80
11800.00,2.35,93.15
11850.00,0.75,143.05
11900.00,0.90,189.55
11950.00,0.70,-
12000.00,0.70,288.95
12050.00,0.25,-
12100.00,0.40,394.00
12150.00,1.00,-
12200.00,0.35,486.20
12250.00,0.50,-
12300.00,0.35,589.95
12350.00,-,-
12400.00,0.40,689.30
12450.00,1.40,-
12500.00,0.25,787.30
12550.00,1.20,1219.20
12600.00,0.35,863.00
12650.00,-,-
12700.00,0.50,960.00
12750.00,-,-
12800.00,0.30,-
12850.00,0.50,-
12900.00,0.05,1154.75
12950.00,-,-
13000.00,0.05,1286.95
13050.00,-,-
13100.00,-,-
13150.00,-,-
13200.00,-,-
13250.00,-,-
