,Date,symbol,exp_date,temp_Close,Strike_High,Strike_Low,CE_H_I,CE_L_I,PE_H_I,PE_L_I,days_to_expire,ce_maxpain,pe_maxpain,maxpain,mp_strike_pr,CE_OI_Max2_St_Pr,CE_OI_Max2_CHG_OI,CE_OI_Max1_St_Pr,CE_OI_Max1_CHG_OI,PE_OI_Max2_St_Pr,CE_OI_Max2_CHG_OI,PE_OI_Max2_St_Pr,CE_OI_Max2_CHG_OI
0,02-JUL-2018,BANKNIFTY,26-Jul-2018,26237.25,26300.0,26200.0,12.294769287109375,12.195587158203125,16.69478416442871,16.841888427734375,24,70080,472840,2193952000,26000.0,23400.0,-20160.0,27000.0,45880.0,25500.0,-20160.0,25500.0,-20160.0
0,02-JUL-2018,BANKNIFTY,30-Aug-2018,26255.6,26300.0,26200.0,37.102699279785156,37.48321533203125,15.497207641601562,15.758275985717773,59,2640,11960,1132000,26000.0,27500.0,520.0,27000.0,2800.0,26000.0,520.0,26000.0,520.0
0,02-JUL-2018,BANKNIFTY,27-Sep-2018,26281.5,26300.0,26200.0,15.733480453491211,15.78521728515625,13.92984390258789,13.956069946289062,87,0,0,0,24700.0,24700.0,0.0,24700.0,0.0,24700.0,0.0,24700.0,0.0
0,02-JUL-2018,FTSE100,20-Jul-2018,7445.0,7500.0,7400.0,34.454345703125,34.07478332519531,38.26904296875,38.14411163330078,18,0,0,0,6500.0,6500.0,0.0,6500.0,0.0,6500.0,0.0,6500.0,0.0
0,02-JUL-2018,FTSE100,17-Aug-2018,7881.0,7900.0,7800.0,14.0838623046875,13.275146484375,20.402908325195312,20.050048828125,46,0,0,0,6700.0,6700.0,0.0,6700.0,0.0,6700.0,0.0,6700.0,0.0
0,02-JUL-2018,FTSE100,21-Sep-2018,7867.0,7900.0,7800.0,17.154693603515625,16.4031982421875,25.383949279785156,25.220870971679688,81,0,0,0,6100.0,6100.0,0.0,6100.0,0.0,6100.0,0.0,6100.0,0.0
0,02-JUL-2018,NIFTY,26-Jul-2018,10658.25,10700.0,10600.0,10.029792785644531,9.952545166015625,14.556884765625,14.965057373046875,24,2657700,1883700,9366746250,10700.0,10800.0,191025.0,11000.0,354375.0,10600.0,191025.0,10600.0,191025.0
0,02-JUL-2018,NIFTY,30-Aug-2018,10677.7,10700.0,10600.0,7.472991943359375,6.99615478515625,14.64080810546875,14.923095703125,59,444450,489450,569325000,10800.0,11000.0,58200.0,10800.0,58425.0,10800.0,58200.0,10800.0,58200.0
0,02-JUL-2018,NIFTY,27-Sep-2018,10693.85,10700.0,10600.0,6.46209716796875,6.15692138671875,15.52438735961914,15.683174133300781,87,1053375,75,2943495000,8600.0,8700.0,14700.0,8600.0,-675.0,10200.0,14700.0,10200.0,14700.0
0,02-JUL-2018,NIFTYCPSE,26-Jul-2018,2439.95,2450.0,2425.0,26.3519287109375,26.0009765625,30.792236328125,30.6396484375,24,0,0,0,2000.0,2000.0,0.0,2000.0,0.0,2000.0,0.0,2000.0,0.0
0,02-JUL-2018,NIFTYCPSE,30-Aug-2018,2472.95,2475.0,2450.0,25.257110595703125,24.9176025390625,32.3486328125,32.1807861328125,59,0,0,0,2000.0,2000.0,0.0,2000.0,0.0,2000.0,0.0,2000.0,0.0
0,02-JUL-2018,NIFTYCPSE,27-Sep-2018,2187.4,2200.0,2175.0,19.34814453125,18.890380859375,27.9541015625,27.685165405273438,87,0,0,0,2000.0,2000.0,0.0,2000.0,0.0,2000.0,0.0,2000.0,0.0
0,02-JUL-2018,NIFTYINFRA,26-Jul-2018,3500.75,3600.0,3500.0,28.9764404296875,28.25927734375,33.26416015625,32.77778625488281,24,0,0,0,2300.0,2300.0,0.0,2300.0,0.0,2300.0,0.0,2300.0,0.0
0,02-JUL-2018,NIFTYINFRA,30-Aug-2018,3400.05,3500.0,3400.0,15.512466430664062,14.3585205078125,22.52197265625,21.509170532226562,59,0,0,0,2300.0,2300.0,0.0,2300.0,0.0,2300.0,0.0,2300.0,0.0
0,02-JUL-2018,NIFTYINFRA,27-Sep-2018,3108.75,3200.0,3100.0,14.83154296875,13.458251953125,23.345947265625,22.27783203125,87,0,0,0,2300.0,2300.0,0.0,2300.0,0.0,2300.0,0.0,2300.0,0.0
0,02-JUL-2018,NIFTYIT,26-Jul-2018,14062.0,14100.0,14000.0,61.26117706298828,61.434268951416016,51.36871337890625,51.57756805419922,24,0,0,0,11800.0,11800.0,0.0,11800.0,0.0,11800.0,0.0,11800.0,0.0
0,02-JUL-2018,NIFTYIT,30-Aug-2018,13929.0,14000.0,13900.0,22.191524505615234,21.938323974609375,29.266357421875,29.12139892578125,59,0,0,0,11800.0,11800.0,0.0,11800.0,0.0,11800.0,0.0,11800.0,0.0
0,02-JUL-2018,NIFTYIT,27-Sep-2018,14133.0,14200.0,14100.0,14.394044876098633,14.026641845703125,23.04220199584961,22.838592529296875,87,0,0,0,12300.0,12300.0,0.0,12300.0,0.0,12300.0,0.0,12300.0,0.0
0,02-JUL-2018,NIFTYMID50,26-Jul-2018,4770.0,4800.0,4700.0,138.72146606445312,148.834228515625,2.3193359375,8.056640625,24,0,0,0,3600.0,3600.0,0.0,3600.0,0.0,3600.0,0.0,3600.0,0.0
0,02-JUL-2018,NIFTYMID50,30-Aug-2018,5109.2,5200.0,5100.0,22.37701416015625,21.7437744140625,29.3121337890625,28.886795043945312,59,0,0,0,3600.0,3600.0,0.0,3600.0,0.0,3600.0,0.0,3600.0,0.0
0,02-JUL-2018,NIFTYMID50,27-Sep-2018,4843.05,4900.0,4800.0,16.15142822265625,15.17486572265625,24.6734619140625,24.1241455078125,87,0,0,0,3600.0,3600.0,0.0,3600.0,0.0,3600.0,0.0,3600.0,0.0
0,02-JUL-2018,NIFTYPSE,26-Jul-2018,3893.55,3900.0,3800.0,26.033401489257812,24.885177612304688,30.517578125,30.181884765625,24,0,0,0,2600.0,2600.0,0.0,2600.0,0.0,2600.0,0.0,2600.0,0.0
