Date,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI
01-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14002.1,14073.95,13997.05,14053.85,14053.85,60830.0,640917.25,12168975.0,368325.0
01-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14043.0,14103.0,14036.2,14086.5,14086.5,2537.0,26787.72,953775.0,27300.0
01-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14069.0,14127.8,14069.0,14111.65,14111.65,763.0,8070.16,32100.0,32100.0
04-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14100.0,14179.45,13970.05,14165.3,14165.3,134661.0,1424378.51,12682725.0,513750.0
04-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14156.55,14210.65,14004.9,14197.95,14197.95,4061.0,43071.81,982950.0,29175.0
04-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14191.0,14229.0,14039.4,14217.15,14217.15,826.0,8775.67,50400.0,18300.0
05-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14110.2,14227.75,14077.0,14217.95,14217.95,130458.0,1384755.19,13181400.0,498675.0
05-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14146.05,14261.6,14111.35,14251.9,14251.9,4179.0,44487.59,1010250.0,27300.0
05-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14137.6,14276.6,14135.55,14268.4,14268.4,816.0,8695.45,63075.0,12675.0
06-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14249.95,14252.55,14078.1,14189.45,14189.45,157161.0,1672475.68,12368925.0,-812475.0
06-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14290.55,14290.6,14115.0,14223.35,14223.35,4187.0,44671.07,995100.0,-15150.0
06-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14268.8,14303.0,14138.2,14241.2,14241.2,794.0,8482.15,67875.0,4800.0
07-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14200.1,14283.0,14175.0,14191.1,14191.1,100360.0,1071012.2,12308100.0,-60825.0
07-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14255.15,14312.35,14212.2,14227.0,14227.0,3034.0,32463.11,986850.0,-8250.0
07-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14315.35,14325.0,14230.05,14246.75,14246.75,506.0,5421.55,76200.0,8325.0
08-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14281.0,14379.3,14249.0,14370.9,14370.9,140661.0,1510644.17,13283400.0,975300.0
08-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14302.3,14415.0,14279.45,14401.6,14401.6,5515.0,59357.51,1103475.0,116625.0
08-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14359.85,14425.0,14290.25,14417.8,14417.8,1066.0,11483.56,112125.0,35925.0
11-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14453.0,14498.65,14400.95,14489.25,14489.25,142339.0,1543484.68,13851900.0,568500.0
11-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14456.4,14532.0,14436.5,14524.85,14524.85,5167.0,56158.17,1110300.0,6825.0
11-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14481.0,14556.45,14451.5,14547.05,14547.05,1938.0,21100.29,153000.0,40875.0
12-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14478.0,14624.0,14454.45,14597.95,14597.95,117473.0,1281399.77,13891425.0,39525.0
12-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14504.95,14654.9,14490.05,14629.3,14629.3,5337.0,58387.52,1134150.0,23850.0
12-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14545.0,14669.0,14506.6,14651.2,14651.2,1323.0,14499.24,179475.0,26475.0
13-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14653.85,14660.0,14476.0,14606.15,14606.15,170305.0,1863401.67,13220925.0,-670500.0
13-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14696.15,14696.15,14513.0,14638.65,14638.65,5540.0,60774.53,1164525.0,30375.0
13-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14680.0,14709.9,14537.15,14664.85,14664.85,1866.0,20515.1,215175.0,35700.0
14-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14580.0,14643.75,14504.6,14628.1,14628.1,108912.0,1191618.0,13226850.0,5925.0
14-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14618.8,14674.8,14539.0,14660.45,14660.45,4046.0,44368.73,1206075.0,41550.0
14-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14664.85,14697.5,14560.0,14683.1,14683.1,700.0,7687.68,219150.0,3975.0
15-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14605.0,14623.55,14375.1,14458.5,14458.5,192307.0,2090565.52,12800925.0,-425925.0
15-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14629.6,14652.5,14413.6,14493.3,14493.3,9342.0,101811.29,1235775.0,29700.0
15-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14638.2,14679.7,14434.3,14522.5,14522.5,2162.0,23592.01,235575.0,16425.0
18-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14458.5,14458.95,14250.0,14287.25,14287.25,176050.0,1893475.08,12187425.0,-613500.0
18-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14473.95,14479.95,14281.65,14316.1,14316.1,11120.0,119868.17,1405200.0,169425.0
18-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14463.7,14500.1,14306.15,14342.95,14342.95,2293.0,24755.97,246975.0,11400.0
19-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14380.5,14586.3,14364.25,14570.0,14570.0,146535.0,1591796.59,12018975.0,-168450.0
19-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14398.7,14619.75,14388.9,14605.3,14605.3,9574.0,104244.11,1622700.0,217500.0
19-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14425.0,14638.2,14419.95,14626.25,14626.25,1616.0,17624.66,274875.0,27900.0
20-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14581.0,14670.45,14524.1,14645.15,14645.15,117937.0,1292036.85,12448125.0,429150.0
20-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14580.0,14703.95,14553.7,14683.2,14683.2,9681.0,106345.15,1862250.0,239550.0
20-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14591.5,14725.0,14588.6,14705.0,14705.0,1436.0,15802.74,284925.0,10050.0
21-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14711.05,14765.45,14508.3,14598.65,14598.65,132214.0,1456287.79,12141225.0,-306900.0
21-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14732.75,14798.3,14558.4,14632.7,14632.7,15055.0,166398.13,1985250.0,123000.0
21-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14750.0,14818.0,14583.65,14648.5,14648.5,2141.0,23688.29,314550.0,29625.0
22-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14593.0,14625.9,14356.0,14380.15,14380.15,218502.0,2372984.04,11358450.0,-782775.0
22-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14629.6,14660.0,14401.0,14419.95,14419.95,24861.0,270787.2,2048550.0,63300.0
22-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14640.0,14678.5,14427.35,14445.65,14445.65,3330.0,36324.35,332625.0,18075.0
25-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14475.0,14497.75,14233.6,14253.15,14253.15,185139.0,1993002.66,9549150.0,-1809300.0
25-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14503.3,14522.6,14282.25,14301.5,14301.5,59274.0,639651.22,4101525.0,2052975.0
25-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14477.4,14560.0,14303.45,14318.45,14318.45,3696.0,39973.13,394050.0,61425.0
27-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,14199.0,14208.0,13933.1,13982.55,13982.55,206257.0,2176912.17,6386100.0,-3163050.0
27-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14252.25,14267.95,13972.45,14020.35,14020.35,88793.0,939034.45,6744375.0,2642850.0
27-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,14300.0,14300.0,14000.1,14044.9,14044.9,5017.0,53186.86,492825.0,98775.0
28-JAN-2021,FUTIDX,NIFTY,28-Jan-2021,0.0,XX,13849.95,13896.9,13706.3,13813.5,13817.55,192368.0,1992996.59,3002850.0,-3383250.0
28-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,13885.0,13935.3,13744.3,13844.4,13844.4,170472.0,1770317.26,9617325.0,2872950.0
28-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,13805.1,13982.9,13769.95,13872.1,13872.1,7140.0,74292.89,594750.0,101925.0
29-JAN-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,13925.0,13984.0,13666.6,13709.1,13709.1,236005.0,2447687.43,9184875.0,-432450.0
29-JAN-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,13950.55,14007.3,13707.0,13744.0,13744.0,8349.0,86691.44,679350.0,84600.0
29-JAN-2021,FUTIDX,NIFTY,29-Apr-2021,0.0,XX,13990.6,14025.0,13726.95,13763.6,13763.6,718.0,7456.8,23100.0,23100.0
01-FEB-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,13785.0,14398.95,13696.55,14351.25,14351.25,336503.0,3541709.13,9925425.0,740550.0
01-FEB-2021,FUTIDX,NIFTY,25-Mar-2021,0.0,XX,13824.95,14440.0,13728.85,14383.6,14383.6,12261.0,129706.28,829650.0,150300.0
01-FEB-2021,FUTIDX,NIFTY,29-Apr-2021,0.0,XX,13833.0,14461.5,13760.1,14413.45,14413.45,1665.0,17658.69,62025.0,38925.0
02-FEB-2021,FUTIDX,NIFTY,25-Feb-2021,0.0,XX,14519.0,14767.25,14480.0,14696.0,14696.0,219941.0,2416153.53,9669000.0,-256425.0
